Datum,Aktenzeichen
25.04.2008,2C_641/2007
18.11.2015,1B_405/2015
12.09.2007,9C_392/2007
27.04.2015,9F_6/2015
19.01.2009,5A_723/2008
11.04.2008,1B_20/2008
29.06.2011,9C_494/2011
13.08.2008,4A_219/2008
28.04.2008,2C_205/2008
22.03.2010,4A_2/2010
08.12.2008,5D_148/2008
08.03.2007,2A.168/2006
29.08.2012,9C_444/2012
27.07.2007,2P.55/2007
08.02.2012,9C_768/2011
03.09.2012,1C_276/2012
25.03.2015,8C_82/2015
28.04.2015,6B_386/2015
23.03.2012,1C_73/2012
20.03.2012,8C_795/2011
17.02.2011,4A_479/2010
14.05.2008,6B_785/2007
13.08.2009,5A_200/2009
08.03.2011,6B_119/2011
18.02.2011,2C_356/2010
12.04.2016,6B_357/2016
18.09.2007,8C_109/2007
05.01.2016,4A_602/2015
29.03.2010,8C_225/2010
05.06.2012,5A_422/2012
15.10.2012,2C_451/2012
29.03.2012,9C_182/2012
28.04.2015,4D_18/2015
14.12.2016,9C_813/2016
05.07.2012,6B_112/2012
04.10.2012,2C_981/2012
22.06.2012,1B_356/2012
04.07.2008,9C_878/2007
22.12.2011,6B_497/2011
08.08.2011,5A_428/2011
16.12.2016,6B_656/2015
16.07.2009,2C_400/2009
08.07.2011,9C_189/2011
30.06.2009,9C_969/2008
29.04.2014,9C_268/2014
08.12.2016,6B_594/2016
18.08.2010,5A_556/2010
02.06.2009,2C_333/2009
26.04.2011,4A_112/2011
28.10.2008,2C_719/2008
15.01.2009,1B_338/2008
09.12.2016,8C_702/2016
06.09.2012,1B_465/2012
08.12.2016,1C_560/2016
15.05.2015,9C_38/2015
19.01.2009,1F_1/2009
04.07.2016,8C_409/2016
15.12.2014,6B_889/2014
01.09.2007,6B_431/2007
11.01.2008,5A_227/2007
15.05.2007,5D_26/2007
13.11.2007,5D_118/2007
28.09.2007,2C_255/2007
12.10.2011,4D_72/2011
06.08.2007,1E.14/2006
02.04.2012,1B_94/2012
29.10.2007,8C_414/2007
08.05.2012,8C_259/2012
08.02.2013,2T_8/2012
31.05.2007,1B_71/2007
08.10.2007,4D_47/2007
19.09.2012,2D_51/2012
21.12.2015,1F_31/2015
21.01.2016,6B_1334/2015
24.02.2009,1C_586/2008
20.12.2013,1C_807/2013
23.09.2008,6B_639/2008
12.01.2009,5D_177/2008
14.07.2015,6B_582/2015
04.05.2009,6B_213/2009
30.04.2007,4A_65/2007
07.12.2009,1B_231/2009
25.05.2012,9C_349/2012
07.01.2008,2A.665/2006
19.05.2009,5A_336/2009
05.07.2012,5D_118/2012
16.03.2016,1B_89/2016
30.08.2012,1C_340/2012
30.03.2015,6B_222/2015
30.09.2014,5D_146/2014
08.12.2016,1C_111/2016
05.07.2011,2C_951/2010
04.08.2014,4A_217/2014
14.12.2009,9C_1030/2009
20.10.2011,5A_731/2011
19.03.2010,8C_1080/2009
09.12.2016,6B_500/2016
20.05.2008,2C_333/2008
03.06.2008,2D_48/2008
09.03.2012,4A_538/2011
24.06.2011,2C_525/2011
08.12.2016,4A_393/2016
16.04.2007,6B_95/2007
04.07.2014,9C_424/2014
24.07.2012,6B_391/2012
07.09.2012,5F_7/2012
29.03.2012,8C_94/2012
16.05.2008,6B_264/2008
04.11.2011,1C_302/2011
16.12.2016,1B_477/2016
09.01.2008,2C_12/2008
16.07.2010,5A_281/2010
15.12.2016,5A_952/2016
03.11.2008,2D_93/2008
08.05.2008,8C_745/2007
27.03.2009,5A_118/2009
11.04.2008,6B_142/2008
02.07.2008,1B_160/2008
23.05.2008,4D_60/2008
23.12.2011,9C_873/2011
20.02.2013,2C_42/2013
26.03.2015,6B_82/2015
14.01.2009,2C_726/2008
03.12.2012,2C_1130/2012
18.06.2008,1C_100/2008
25.08.2009,8C_939/2008
22.07.2014,5A_590/2014
12.03.2010,2C_658/2009
16.11.2012,2C_386/2012
06.10.2011,6F_13/2011
17.02.2012,1C_96/2012
25.04.2014,2D_30/2014
14.07.2014,4A_130/2014
13.11.2007,6B_506/2007
01.09.2007,6G_2/2007
07.06.2011,9C_125/2011
18.10.2010,9C_769/2010
15.05.2012,2C_314/2012
09.05.2016,1B_164/2016
11.02.2010,1C_423/2009
02.03.2010,8C_623/2009
18.05.2015,8C_908/2014
17.06.2008,6B_62/2008
24.08.2012,2T_3/2012
09.01.2009,4A_460/2008
20.01.2016,4D_81/2015
06.04.2010,6B_243/2010
15.10.2008,9C_561/2008
18.03.2014,6B_146/2014
19.02.2008,8C_585/2007
12.08.2014,1C_105/2014
27.05.2008,8C_86/2008
09.09.2008,8C_584/2007
14.09.2016,4A_243/2013
27.03.2014,1C_104/2014
23.06.2009,8C_471/2009
09.04.2008,9C_125/2007
14.04.2008,2D_34/2008
19.05.2008,4A_135/2008
18.08.2015,6B_810/2014
12.03.2008,8C_15/2008
20.12.2013,5A_886/2013
16.02.2011,1C_72/2011
08.04.2009,1C_28/2009
16.03.2015,4A_636/2014
09.04.2009,1C_29/2009
05.03.2010,8C_108/2010
11.12.2007,5A_325/2007
08.01.2008,6B_755/2007
15.06.2007,2C_131/2007
14.10.2013,5F_22/2013
06.08.2007,2A.30/2007
08.12.2011,1C_544/2011
07.07.2008,5A_234/2008
01.03.2007,4A_19/2007
15.06.2010,8C_487/2010
13.08.2012,2C_49/2012
03.02.2010,4A_13/2010
16.12.2016,6B_1393/2016
14.07.2009,4A_198/2009
18.10.2010,2C_793/2010
20.02.2012,6B_44/2012
09.12.2016,6B_849/2016
19.03.2013,1B_33/2013
