date,value
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,1
2020-03-22,14
2020-03-29,80
2020-04-05,143
2020-04-12,201
2020-04-19,270
2020-04-26,286
2020-05-03,339
2020-05-10,504
2020-05-17,544
2020-05-24,646
2020-05-31,830
2020-06-07,1085
2020-06-14,1252
2020-06-21,1463
2020-06-28,1456
2020-07-05,1710
2020-07-12,1853
2020-07-19,1730
2020-07-26,1855
2020-08-02,2028
2020-08-09,1852
2020-08-16,1726
2020-08-23,1724
2020-08-30,1704
2020-09-06,1562
2020-09-13,2711
