date,value
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,3
2020-02-23,10
2020-03-01,49
2020-03-08,431
2020-03-15,1993
2020-03-22,7096
2020-03-29,18889
2020-04-05,34623
2020-04-12,43363
2020-04-19,41158
2020-04-26,35967
2020-05-03,28729
2020-05-10,24007
2020-05-17,19162
2020-05-24,14967
2020-05-31,9573
2020-06-07,9212
2020-06-14,7539
2020-06-21,7238
2020-06-28,5159
2020-07-05,4714
2020-07-12,6228
2020-07-19,6164
2020-07-26,7026
2020-08-02,8465
2020-08-09,8023
2020-08-16,8111
2020-08-23,7778
2020-08-30,7054
2020-09-06,7066
2020-09-13,5812
