date,value
2020-01-26,39
2020-02-02,306
2020-02-09,544
2020-02-16,861
2020-02-23,687
2020-03-01,474
2020-03-08,376
2020-03-15,677
2020-03-22,1268
2020-03-29,1747
2020-04-05,3199
2020-04-12,4567
2020-04-19,6761
2020-04-26,6593
2020-05-03,8918
2020-05-10,10669
2020-05-17,12132
2020-05-24,14545
2020-05-31,16205
2020-06-07,19231
2020-06-14,21332
2020-06-21,25917
2020-06-28,24350
2020-07-05,24997
2020-07-12,26526
2020-07-19,29027
2020-07-26,33516
2020-08-02,29536
2020-08-09,31077
2020-08-16,34027
2020-08-23,29243
2020-08-30,28947
2020-09-06,28358
2020-09-13,28369
