Gemeinde_ID,Gemeinde_Name,Partei_Name,1999,2019
1,Aeugst am Albis,BDP,,1.26
1,Aeugst am Albis,CSP,0.09,
1,Aeugst am Albis,CVP,2.59,2.5
1,Aeugst am Albis,EDU,3.21,3.43
1,Aeugst am Albis,EVP,1.44,3.23
1,Aeugst am Albis,FDP,24.67,16.42
1,Aeugst am Albis,FGA,1.51,0.3
1,Aeugst am Albis,FPS,0.08,
1,Aeugst am Albis,GLP,,14.32
1,Aeugst am Albis,GPS,4.11,15.05
1,Aeugst am Albis,LPS,0.04,
1,Aeugst am Albis,LdU,3.81,
1,Aeugst am Albis,PdA,,0.16
1,Aeugst am Albis,SD,0.93,0.39
1,Aeugst am Albis,SP,25.29,11.57
1,Aeugst am Albis,SVP,29.69,30.38
1,Aeugst am Albis,Übrige,2.54,0.99
2,Affoltern am Albis,BDP,,2.0
2,Affoltern am Albis,CSP,0.28,
2,Affoltern am Albis,CVP,4.76,4.54
2,Affoltern am Albis,EDU,3.14,1.34
2,Affoltern am Albis,EVP,3.22,6.62
2,Affoltern am Albis,FDP,17.94,13.39
2,Affoltern am Albis,FGA,1.16,0.39
2,Affoltern am Albis,FPS,0.85,
2,Affoltern am Albis,GLP,,12.67
2,Affoltern am Albis,GPS,3.02,12.59
2,Affoltern am Albis,LPS,0.14,
2,Affoltern am Albis,LdU,2.56,
2,Affoltern am Albis,PdA,,0.2
2,Affoltern am Albis,SD,0.91,0.21
2,Affoltern am Albis,SP,22.96,14.65
2,Affoltern am Albis,SVP,37.35,30.31
2,Affoltern am Albis,Übrige,1.69,1.1
3,Bonstetten,BDP,,1.28
3,Bonstetten,CSP,0.22,
3,Bonstetten,CVP,3.15,3.87
3,Bonstetten,EDU,1.77,1.2
3,Bonstetten,EVP,2.7,4.19
3,Bonstetten,FDP,19.04,15.35
3,Bonstetten,FGA,1.14,0.72
3,Bonstetten,FPS,0.41,
3,Bonstetten,GLP,,16.24
3,Bonstetten,GPS,5.35,12.37
3,Bonstetten,LPS,0.05,
3,Bonstetten,LdU,2.11,
3,Bonstetten,PdA,,0.18
3,Bonstetten,SD,0.96,0.18
3,Bonstetten,SP,28.09,16.74
3,Bonstetten,SVP,32.91,26.12
3,Bonstetten,Übrige,2.09,1.55
4,Hausen am Albis,BDP,,1.61
4,Hausen am Albis,CSP,0.03,
4,Hausen am Albis,CVP,3.97,3.93
4,Hausen am Albis,EDU,1.59,1.38
4,Hausen am Albis,EVP,1.7,4.06
4,Hausen am Albis,FDP,15.16,11.14
4,Hausen am Albis,FGA,1.68,0.4
4,Hausen am Albis,FPS,0.19,
4,Hausen am Albis,GLP,,12.42
4,Hausen am Albis,GPS,3.63,16.74
4,Hausen am Albis,LPS,0.01,
4,Hausen am Albis,LdU,1.55,
4,Hausen am Albis,PdA,,0.19
4,Hausen am Albis,SD,0.55,0.23
4,Hausen am Albis,SP,27.92,13.71
4,Hausen am Albis,SVP,39.62,33.18
4,Hausen am Albis,Übrige,2.4,1.0
5,Hedingen,BDP,,1.88
5,Hedingen,CSP,0.15,
5,Hedingen,CVP,2.97,3.87
5,Hedingen,EDU,2.35,2.06
5,Hedingen,EVP,2.14,3.73
5,Hedingen,FDP,19.06,13.99
5,Hedingen,FGA,1.21,0.82
5,Hedingen,FPS,0.7,
5,Hedingen,GLP,,16.42
5,Hedingen,GPS,5.03,12.35
5,Hedingen,LPS,0.05,
5,Hedingen,LdU,2.23,
5,Hedingen,PdA,,0.18
5,Hedingen,SD,1.65,0.11
5,Hedingen,SP,26.6,16.74
5,Hedingen,SVP,34.75,26.6
5,Hedingen,Übrige,1.11,1.25
6,Kappel am Albis,BDP,,1.27
6,Kappel am Albis,CSP,0.03,
6,Kappel am Albis,CVP,2.48,5.5
6,Kappel am Albis,EDU,1.49,1.47
6,Kappel am Albis,EVP,3.17,4.51
6,Kappel am Albis,FDP,14.21,10.86
6,Kappel am Albis,FGA,1.6,0.63
6,Kappel am Albis,FPS,0.15,
6,Kappel am Albis,GLP,,10.87
6,Kappel am Albis,GPS,3.35,10.18
6,Kappel am Albis,LPS,0.0,
6,Kappel am Albis,LdU,1.12,
6,Kappel am Albis,PdA,,0.05
6,Kappel am Albis,SD,0.76,0.15
6,Kappel am Albis,SP,16.49,9.07
6,Kappel am Albis,SVP,54.77,43.64
6,Kappel am Albis,Übrige,0.37,1.8
7,Knonau,BDP,,2.67
7,Knonau,CSP,0.05,
7,Knonau,CVP,3.54,5.34
7,Knonau,EDU,2.96,2.19
7,Knonau,EVP,2.26,6.91
7,Knonau,FDP,16.05,9.2
7,Knonau,FGA,1.37,0.09
7,Knonau,FPS,0.6,
7,Knonau,GLP,,17.32
7,Knonau,GPS,4.59,11.35
7,Knonau,LPS,0.01,
7,Knonau,LdU,3.29,
7,Knonau,PdA,,0.1
7,Knonau,SD,1.15,0.01
7,Knonau,SP,23.62,11.43
7,Knonau,SVP,39.56,32.27
7,Knonau,Übrige,0.97,1.12
8,Maschwanden,BDP,,2.93
8,Maschwanden,CSP,0.09,
8,Maschwanden,CVP,2.39,2.56
8,Maschwanden,EDU,1.83,2.99
8,Maschwanden,EVP,1.85,3.41
8,Maschwanden,FDP,9.04,3.34
8,Maschwanden,FGA,0.3,0.11
8,Maschwanden,FPS,0.05,
8,Maschwanden,GLP,,12.29
8,Maschwanden,GPS,3.69,10.02
8,Maschwanden,LPS,0.0,
8,Maschwanden,LdU,0.64,
8,Maschwanden,PdA,,0.07
8,Maschwanden,SD,1.08,0.0
8,Maschwanden,SP,28.18,16.94
8,Maschwanden,SVP,50.36,44.52
8,Maschwanden,Übrige,0.5,0.84
9,Mettmenstetten,BDP,,1.36
9,Mettmenstetten,CSP,0.02,
9,Mettmenstetten,CVP,3.27,3.56
9,Mettmenstetten,EDU,4.65,3.66
9,Mettmenstetten,EVP,2.64,4.66
9,Mettmenstetten,FDP,18.17,11.82
9,Mettmenstetten,FGA,0.9,0.29
