Gemeinde_ID,Gemeinde_Name,2019
1,Aeugst am Albis,15.05
2,Affoltern am Albis,12.59
3,Bonstetten,12.37
4,Hausen am Albis,16.74
5,Hedingen,12.35
6,Kappel am Albis,10.18
7,Knonau,11.35
8,Maschwanden,10.02
9,Mettmenstetten,11.83
10,Obfelden,8.55
11,Ottenbach,10.71
12,Rifferswil,21.59
13,Stallikon,10.63
14,Wettswil am Albis,9.27
21,Adlikon,6.77
22,Benken (ZH),12.15
23,Berg am Irchel,8.08
24,Buch am Irchel,6.41
25,Dachsen,17.13
26,Dorf,3.94
27,Feuerthalen,11.89
28,Flaach,9.12
29,Flurlingen,15.26
30,Andelfingen,11.91
31,Henggart,10.03
32,Humlikon,4.65
33,Kleinandelfingen,10.62
34,Laufen-Uhwiesen,10.04
35,Marthalen,11.2
37,Ossingen,9.79
38,Rheinau,12.84
39,Thalheim an der Thur,9.26
40,Trüllikon,10.53
41,Truttikon,9.97
43,Volken,8.52
51,Bachenbülach,9.23
52,Bassersdorf,8.96
53,Bülach,12.93
54,Dietlikon,8.57
55,Eglisau,11.18
56,Embrach,7.8
57,Freienstein-Teufen,10.79
58,Glattfelden,10.2
59,Hochfelden,7.05
60,Höri,6.98
61,Hüntwangen,11.89
62,Kloten,8.82
63,Lufingen,7.46
64,Nürensdorf,6.13
65,Oberembrach,8.74
66,Opfikon,7.75
67,Rafz,11.02
68,Rorbas,10.78
69,Wallisellen,10.08
70,Wasterkingen,10.65
71,Wil (ZH),10.21
72,Winkel,6.64
81,Bachs,14.51
82,Boppelsen,10.18
83,Buchs (ZH),8.14
84,Dällikon,8.39
85,Dänikon,7.69
86,Dielsdorf,11.54
87,Hüttikon,6.45
88,Neerach,6.19
89,Niederglatt,5.66
90,Niederhasli,8.17
91,Niederweningen,14.55
92,Oberglatt,7.01
93,Oberweningen,8.64
94,Otelfingen,8.73
95,Regensberg,12.38
96,Regensdorf,8.84
97,Rümlang,6.28
98,Schleinikon,13.64
99,Schöfflisdorf,9.58
100,Stadel,10.19
101,Steinmaur,10.49
102,Weiach,4.76
111,Bäretswil,10.03
112,Bubikon,12.45
113,Dürnten,11.42
114,Fischenthal,9.42
115,Gossau (ZH),10.18
116,Grüningen,11.5
117,Hinwil,10.78
118,Rüti (ZH),12.58
119,Seegräben,15.91
120,Wald (ZH),14.39
121,Wetzikon (ZH),14.84
131,Adliswil,11.06
