Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,72.949997,73.849998,72.800003,73.000000,54.976856,778381
2015-10-13,72.599998,72.949997,71.849998,72.199997,54.374371,692602
2015-10-14,71.900002,72.699997,71.550003,71.800003,54.073128,853683
2015-10-15,72.599998,72.849998,71.849998,72.800003,54.826241,748614
2015-10-16,73.550003,74.000000,72.199997,72.699997,54.750923,899230
2015-10-19,72.349998,73.199997,71.949997,72.050003,54.261406,695001
2015-10-20,72.250000,72.449997,71.550003,72.300003,54.449688,598519
2015-10-21,72.449997,72.599998,70.650002,70.650002,53.207062,1281328
2015-10-22,70.650002,71.500000,68.800003,71.349998,53.734234,1342459
2015-10-23,71.900002,73.199997,71.550003,72.900002,54.901550,1155659
2015-10-26,72.550003,73.199997,72.250000,72.599998,54.675613,588247
2015-10-27,72.349998,73.849998,72.150002,72.750000,54.788582,732106
2015-10-28,73.000000,73.349998,72.349998,73.000000,54.976856,465323
2015-10-29,73.599998,74.500000,73.000000,74.449997,56.068863,1047043
2015-10-30,74.650002,75.099998,73.400002,73.599998,55.428722,938707
2015-11-02,73.199997,73.849998,73.150002,73.849998,55.616997,907270
2015-11-03,74.199997,74.550003,73.500000,74.300003,55.955906,787033
2015-11-04,74.199997,74.849998,73.400002,73.750000,55.541691,856785
2015-11-05,67.000000,68.400002,65.500000,66.000000,49.705101,4359297
2015-11-06,66.150002,67.199997,64.750000,66.750000,50.269939,3472891
2015-11-09,67.000000,67.800003,66.900002,67.250000,50.646492,1475602
2015-11-10,68.599998,68.699997,67.599998,67.750000,51.023048,1598148
2015-11-11,68.050003,68.199997,67.550003,67.900002,51.136021,1105688
2015-11-12,67.949997,68.150002,66.800003,66.900002,50.382904,1193379
2015-11-13,66.550003,66.750000,65.099998,65.300003,49.177933,1646466
2015-11-16,64.400002,66.099998,63.950001,65.650002,49.441525,1402956
2015-11-17,66.699997,68.500000,66.599998,68.150002,51.324295,1773387
2015-11-18,67.550003,68.699997,67.500000,68.449997,51.550220,787525
2015-11-19,68.800003,70.050003,68.750000,69.650002,52.453957,1427066
2015-11-20,70.150002,70.400002,69.349998,69.699997,52.491604,682647
2015-11-23,69.599998,69.599998,68.949997,69.099998,52.039742,677879
2015-11-24,69.199997,69.199997,67.199997,67.300003,50.684151,1374454
2015-11-25,67.900002,69.250000,67.599998,68.699997,51.738499,983122
2015-11-26,68.550003,69.099998,68.400002,69.000000,51.964432,791341
2015-11-27,68.849998,70.699997,68.750000,69.849998,52.604576,959650
2015-11-30,69.849998,70.699997,69.349998,70.400002,53.018780,1139524
2015-12-01,70.800003,71.050003,69.800003,70.199997,52.868160,969159
2015-12-02,70.300003,70.550003,69.800003,69.800003,52.566917,727249
2015-12-03,69.449997,70.849998,69.199997,69.199997,52.115044,1632122
2015-12-04,68.800003,69.500000,68.599998,69.099998,52.039742,851070
2015-12-07,69.250000,70.150002,69.199997,69.699997,52.491604,717292
2015-12-08,69.349998,69.800003,68.500000,68.500000,51.587879,1012167
2015-12-09,68.949997,69.050003,67.300003,67.900002,51.136021,1551689
2015-12-10,67.449997,68.300003,67.150002,67.550003,50.872425,645646
2015-12-11,67.300003,67.599998,65.150002,66.000000,49.705101,1184141
2015-12-14,66.150002,66.300003,64.900002,65.000000,48.952007,1076753
2015-12-15,65.849998,66.800003,65.300003,66.800003,50.307598,1165508
2015-12-16,67.099998,67.699997,66.300003,67.099998,50.533527,741063
2015-12-17,68.900002,68.900002,67.250000,67.500000,50.834774,640380
2015-12-18,67.099998,67.349998,66.349998,66.849998,50.345253,1540514
2015-12-21,66.550003,67.599998,66.550003,67.199997,50.608833,603022
2015-12-22,67.699997,68.050003,66.849998,67.599998,50.910080,481082
2015-12-23,68.050003,69.150002,68.050003,68.800003,51.813808,544125
2015-12-28,68.900002,69.199997,68.250000,68.849998,51.851467,330004
2015-12-29,69.199997,69.699997,69.000000,69.449997,52.303329,457261
2015-12-30,69.750000,69.750000,68.650002,68.900002,51.889118,344806
2016-01-04,67.800003,67.849998,66.500000,67.000000,50.458214,836195
2016-01-05,67.650002,67.900002,66.650002,67.250000,50.646492,552424
2016-01-06,67.000000,67.300003,65.750000,66.199997,49.855728,678869
2016-01-07,64.800003,65.050003,63.200001,63.900002,48.123585,1294709
2016-01-08,64.050003,65.050003,63.150002,63.150002,47.558754,993610
2016-01-11,62.349998,63.650002,62.349998,62.599998,47.144543,805141
2016-01-12,62.500000,64.000000,62.200001,62.650002,47.182198,1110983
2016-01-13,63.400002,64.550003,63.099998,63.500000,47.822338,979650
2016-01-14,63.000000,63.049999,60.900002,61.950001,46.655022,1332036
2016-01-15,61.549999,62.250000,59.549999,60.099998,45.261772,1634683
2016-01-18,59.799999,61.349998,59.750000,59.900002,45.111153,880524
2016-01-19,60.950001,61.250000,60.299999,60.650002,45.675980,785474
2016-01-20,59.599998,59.650002,58.299999,58.549999,44.094460,1135201
2016-01-21,58.849998,60.750000,58.750000,60.299999,45.412392,1341976
2016-01-22,61.650002,62.049999,61.349998,61.599998,46.391434,863003
2016-01-25,62.299999,62.299999,60.849998,61.200001,46.090191,698703
2016-01-26,60.299999,62.099998,59.950001,61.799999,46.542057,680666
2016-01-27,61.500000,61.950001,61.000000,61.599998,46.391434,676273
2016-01-28,61.400002,62.150002,60.750000,61.200001,46.090191,1064720
2016-01-29,62.049999,62.500000,61.549999,62.500000,47.069237,1268802
2016-02-01,63.000000,63.049999,61.400002,61.900002,46.617367,856354
2016-02-02,61.849998,61.849998,59.349998,59.650002,44.922874,935329
2016-02-03,59.500000,60.400002,58.750000,59.500000,44.809906,905857
2016-02-04,60.250000,60.599998,59.049999,59.950001,45.148804,1060705
2016-02-05,60.400002,61.099998,59.849998,59.849998,45.073494,883533
2016-02-08,60.200001,60.250000,56.750000,56.900002,42.851830,1143136
2016-02-09,56.849998,57.250000,54.750000,55.150002,41.533890,1542664
2016-02-10,55.799999,57.049999,55.150002,56.000000,42.174030,1303019
2016-02-11,55.299999,55.450001,52.750000,53.750000,40.479542,1674454
2016-02-12,54.349998,54.799999,53.200001,53.799999,40.517193,1471190
2016-02-15,54.950001,56.349998,54.750000,55.700001,41.948093,1012123
2016-02-16,55.950001,56.150002,54.799999,55.500000,41.797478,1000514
2016-02-17,55.549999,57.299999,55.549999,56.849998,42.814175,1186806
2016-02-18,57.799999,60.250000,57.799999,59.200001,44.583977,2037202
2016-02-19,59.450001,59.500000,57.849998,58.349998,43.943836,1279960
2016-02-22,59.000000,59.549999,58.900002,59.150002,44.546322,746187
2016-02-23,58.700001,59.500000,57.849998,58.099998,43.755558,1203232
2016-02-24,57.849998,58.099998,56.450001,58.099998,43.755558,1358759
2016-02-25,57.700001,58.400002,57.200001,57.599998,43.379005,1050625
2016-02-26,58.349998,58.900002,58.049999,58.500000,44.056805,961319
2016-02-29,57.849998,58.400002,57.150002,58.250000,43.868526,778890
2016-03-01,58.250000,59.599998,58.049999,59.500000,44.809906,806742
2016-03-02,59.599998,60.200001,59.250000,59.750000,44.998184,797323
2016-03-03,60.099998,61.500000,59.650002,60.750000,45.751293,1060207
2016-03-04,61.200001,62.049999,60.750000,61.750000,46.504398,1597799
2016-03-07,61.200001,62.049999,61.000000,61.450001,46.278473,768945
2016-03-08,60.750000,61.950001,60.650002,61.099998,46.014877,731647
2016-03-09,60.299999,62.150002,59.400002,62.000000,46.692677,1137576
2016-03-10,62.000000,62.950001,61.049999,61.450001,46.278473,1613043
2016-03-11,62.500000,63.000000,62.049999,62.900002,47.370480,944362
2016-03-14,63.450001,64.000000,62.950001,63.099998,47.521099,693005
2016-03-15,63.099998,63.099998,62.349998,62.849998,47.332817,916877
2016-03-16,63.099998,63.250000,61.849998,62.500000,47.069237,1134984
2016-03-17,62.799999,63.000000,61.299999,62.900002,47.370480,1023338
2016-03-18,63.349998,63.349998,62.250000,62.349998,46.956264,2562430
2016-03-21,62.349998,62.650002,61.400002,61.599998,46.391434,823352
2016-03-22,61.599998,61.599998,60.150002,61.500000,46.316124,982260
2016-03-23,61.599998,62.349998,61.400002,61.900002,46.617367,772727
2016-03-24,61.450001,61.450001,60.700001,61.299999,46.165508,640643
2016-03-29,61.549999,61.900002,61.000000,61.900002,46.617367,738557
2016-03-30,62.299999,63.200001,62.299999,63.049999,47.483437,922277
2016-03-31,62.549999,62.799999,62.150002,62.650002,47.182198,638928
2016-04-01,62.250000,63.000000,61.750000,62.849998,47.332817,708308
2016-04-04,62.750000,63.549999,62.299999,63.299999,47.671719,591356
2016-04-05,62.900002,63.000000,61.400002,61.900002,46.617367,1052622
2016-04-06,62.049999,62.349998,61.299999,61.750000,46.504398,822858
2016-04-07,62.000000,62.900002,61.450001,61.450001,46.278473,1051718
2016-04-08,61.950001,63.000000,61.799999,62.950001,47.408134,1020258
2016-04-11,62.799999,63.200001,62.200001,62.599998,47.144543,745689
2016-04-12,62.549999,63.099998,61.450001,63.000000,47.445789,992323
2016-04-13,63.250000,65.050003,63.200001,64.550003,48.613106,1113186
2016-04-14,64.849998,64.949997,63.950001,64.400002,48.500137,997536
2016-04-15,64.349998,64.750000,63.950001,64.250000,48.387169,1073306
2016-04-18,63.900002,65.000000,63.349998,64.949997,48.914341,763554
2016-04-19,65.199997,66.199997,65.000000,65.699997,49.479172,792656
2016-04-20,65.449997,66.449997,65.400002,66.400002,50.006351,920712
2016-04-21,66.349998,66.500000,65.150002,65.650002,49.441525,1207252
2016-04-22,65.400002,65.400002,64.250000,64.599998,48.650764,948524
2016-04-25,64.550003,64.900002,63.349998,63.750000,48.010616,837670
2016-04-26,64.000000,64.150002,63.150002,63.599998,47.897648,857164
2016-04-27,63.900002,64.050003,63.099998,63.799999,48.048271,509117
2016-04-28,63.450001,64.599998,62.849998,64.449997,48.537792,1144710
2016-04-29,62.000000,62.650002,61.450001,61.750000,47.162994,1077533
2016-05-02,62.000000,62.049999,61.349998,61.799999,47.201183,416948
2016-05-03,61.799999,61.799999,60.650002,61.299999,46.819298,798102
2016-05-04,61.450001,62.099998,61.049999,61.099998,46.666542,731585
2016-05-06,61.150002,61.250000,60.450001,60.799999,46.437416,1190985
2016-05-09,61.099998,62.500000,61.000000,61.849998,47.239376,1071052
2016-05-10,60.500000,60.700001,58.049999,58.750000,44.871677,2449007
2016-05-11,58.650002,59.150002,57.650002,58.900002,44.986252,1551455
2016-05-12,58.849998,59.200001,58.049999,58.049999,44.337036,898761
2016-05-13,57.950001,58.500000,57.400002,58.450001,44.642551,1080299
2016-05-17,58.500000,59.250000,58.049999,58.299999,44.527981,1023437
2016-05-18,58.099998,58.650002,57.849998,58.599998,44.757111,753242
2016-05-19,58.299999,59.000000,58.200001,58.650002,44.795303,891548
2016-05-20,59.099998,59.400002,58.750000,58.900002,44.986252,1151594
2016-05-23,59.599998,59.799999,58.849998,59.349998,45.329941,957162
2016-05-24,59.049999,60.299999,58.849998,60.150002,45.940960,996136
2016-05-25,60.500000,60.849998,60.299999,60.450001,46.170090,1104505
2016-05-26,60.599998,60.900002,60.400002,60.500000,46.208279,878045
2016-05-27,60.549999,60.750000,60.150002,60.200001,45.979145,825536
2016-05-30,60.299999,60.500000,60.150002,60.150002,45.940960,803164
2016-05-31,60.500000,60.599998,59.799999,60.250000,46.017338,1266474
2016-06-01,60.150002,60.349998,59.799999,60.150002,45.940960,720204
2016-06-02,60.200001,60.750000,60.150002,60.400002,46.131905,677493
2016-06-03,60.549999,61.099998,59.700001,59.799999,45.673641,740770
2016-06-06,59.900002,60.500000,59.549999,60.250000,46.017338,611575
2016-06-07,60.349998,60.900002,60.299999,60.500000,46.208279,660976
2016-06-08,60.400002,60.500000,59.599998,59.700001,45.597267,602279
2016-06-09,59.650002,59.750000,58.900002,59.599998,45.520885,680628
2016-06-10,59.299999,59.299999,57.950001,58.000000,44.298847,1436045
2016-06-13,57.700001,57.700001,56.349998,56.750000,43.344135,911440
2016-06-14,56.200001,56.349998,55.400002,55.400002,42.313038,921329
2016-06-15,55.849998,56.450001,55.400002,55.450001,42.351227,935562
2016-06-16,55.000000,55.049999,54.299999,55.000000,42.007526,1372034
2016-06-17,55.500000,56.200001,55.500000,55.700001,42.542171,1767675
2016-06-20,56.700001,57.849998,56.599998,57.650002,44.031532,920008
2016-06-21,57.500000,57.950001,57.250000,57.849998,44.184284,947101
2016-06-22,58.000000,58.599998,57.750000,58.500000,44.680737,738632
2016-06-23,58.450001,59.849998,58.349998,59.549999,45.482700,1298114
2016-06-24,53.700001,54.849998,52.700001,52.900002,40.403603,4581805
2016-06-27,52.250000,52.349998,47.029999,47.450001,36.241043,3820772
2016-06-28,48.639999,48.709999,47.500000,47.500000,36.279224,2486277
2016-06-29,48.480000,49.090000,47.889999,49.090000,37.493633,1640251
2016-06-30,48.500000,49.320000,47.660000,48.889999,37.340878,1954435
2016-07-01,49.220001,50.049999,48.639999,49.610001,37.890789,1611603
2016-07-04,50.000000,50.000000,48.240002,48.599998,37.119373,1210541
2016-07-05,47.799999,47.820000,46.430000,46.669998,35.645298,2445815
2016-07-06,46.490002,46.540001,45.009998,46.400002,35.439079,2106612
2016-07-07,46.900002,47.770000,46.830002,47.250000,36.088287,1982084
2016-07-08,47.259998,49.230000,47.070000,49.130001,37.524181,1533291
2016-07-11,49.570000,50.000000,48.720001,49.900002,38.112286,1360896
2016-07-12,49.730000,52.150002,49.459999,51.950001,39.678024,2053211
2016-07-13,52.250000,53.599998,52.000000,52.799999,40.327225,2551271
2016-07-14,53.000000,53.900002,52.299999,53.349998,40.747299,2053772
2016-07-15,53.150002,53.450001,52.549999,53.099998,40.556355,904497
2016-07-18,53.450001,54.200001,52.849998,53.549999,40.900059,930100
2016-07-19,53.200001,53.599998,52.400002,52.650002,40.212662,1009636
2016-07-20,53.150002,53.450001,52.400002,53.250000,40.670925,927456
2016-07-21,53.200001,53.599998,52.549999,53.400002,40.785492,922728
2016-07-22,53.500000,53.549999,52.849998,53.099998,40.556355,740866
2016-07-25,53.000000,53.750000,52.849998,53.599998,40.938244,733616
2016-07-26,53.650002,53.700001,52.450001,53.400002,40.785492,962338
2016-07-27,53.599998,54.250000,53.299999,53.349998,40.747299,1002556
2016-07-28,53.349998,53.950001,52.500000,52.700001,40.250854,1324137
2016-07-29,52.900002,53.549999,52.650002,53.200001,40.632732,798438
2016-08-02,52.849998,53.000000,51.799999,51.950001,39.678024,1348797
2016-08-03,52.049999,52.200001,51.500000,52.099998,39.792587,795128
2016-08-04,52.500000,53.349998,52.349998,52.900002,40.403603,980733
2016-08-05,52.750000,53.799999,52.750000,53.599998,40.938244,819445
2016-08-08,53.900002,54.500000,53.650002,53.849998,41.129185,576612
2016-08-09,53.700001,54.799999,53.500000,54.700001,41.778397,836577
2016-08-10,55.000000,56.400002,54.299999,56.049999,42.809490,963499
2016-08-11,56.650002,56.650002,55.349998,55.900002,42.694923,873711
2016-08-12,56.000000,56.900002,55.900002,56.400002,43.076813,636548
2016-08-15,56.549999,56.549999,55.900002,56.049999,42.809490,426190
2016-08-16,55.950001,56.299999,55.450001,55.650002,42.503983,721835
2016-08-17,55.750000,55.849998,54.750000,55.049999,42.045715,506787
2016-08-18,55.150002,55.950001,55.049999,55.799999,42.618546,627737
2016-08-19,55.849998,55.900002,54.849998,55.049999,42.045715,811787
2016-08-22,55.150002,56.099998,54.950001,55.500000,42.389412,700043
2016-08-23,55.950001,56.799999,55.700001,56.650002,43.267757,717339
2016-08-24,56.299999,56.799999,56.150002,56.549999,43.191376,461732
2016-08-25,56.349998,56.650002,56.000000,56.299999,43.000435,724235
2016-08-26,56.000000,56.500000,55.450001,56.200001,42.924057,686454
2016-08-29,55.849998,56.400002,55.750000,56.150002,42.885864,347980
2016-08-30,56.099998,57.299999,56.099998,57.000000,43.535080,712005
2016-08-31,57.000000,57.450001,56.349998,56.599998,43.229565,771859
2016-09-01,56.950001,57.400002,55.849998,55.900002,42.694923,940603
2016-09-02,56.049999,56.599998,55.700001,56.599998,43.229565,680578
2016-09-05,56.750000,57.200001,56.500000,57.099998,43.611450,490402
2016-09-06,57.200001,57.549999,57.049999,57.150002,43.649643,588576
2016-09-07,57.400002,57.549999,56.750000,57.500000,43.916962,718532
2016-09-08,57.650002,58.099998,57.200001,57.799999,44.146095,810046
2016-09-09,57.599998,58.250000,57.099998,57.150002,43.649643,889070
2016-09-12,56.250000,56.400002,54.950001,55.500000,42.389412,1081917
2016-09-13,55.799999,56.099998,54.549999,54.750000,41.816582,936080
2016-09-14,54.849998,54.900002,54.049999,54.349998,41.511074,772183
2016-09-15,54.099998,54.599998,53.700001,54.299999,41.472889,798887
2016-09-16,54.200001,54.349998,53.349998,53.650002,40.976433,1565576
2016-09-19,53.900002,54.299999,53.700001,54.049999,41.281940,496269
2016-09-20,53.799999,54.099998,53.400002,53.849998,41.129185,686838
2016-09-21,54.250000,54.500000,53.900002,54.049999,41.281940,1498370
2016-09-22,54.500000,55.299999,54.349998,55.049999,42.045715,726931
2016-09-23,55.150002,55.200001,54.400002,54.799999,41.854767,683182
2016-09-26,54.799999,55.049999,54.549999,54.599998,41.702019,1026255
2016-09-27,55.000000,55.150002,54.200001,54.500000,41.625645,874445
2016-09-28,54.900002,55.950001,54.849998,55.400002,42.313038,799442
2016-09-29,55.849998,56.150002,54.900002,55.000000,42.007526,1084663
2016-09-30,54.000000,54.700001,53.450001,54.700001,41.778397,1260151
2016-10-03,54.599998,55.150002,54.500000,54.650002,41.740208,708172
2016-10-04,54.799999,57.200001,54.700001,56.750000,43.344135,1117813
2016-10-05,56.349998,57.150002,56.049999,56.950001,43.496883,806228
2016-10-06,56.700001,57.250000,56.400002,56.650002,43.267757,581745
2016-10-07,56.750000,56.750000,55.549999,56.000000,42.771305,833545
2016-10-10,56.049999,56.250000,55.299999,56.200001,42.924057,715078
2016-10-11,55.950001,57.599998,55.950001,56.900002,43.458698,961798
2016-10-12,56.849998,57.250000,56.450001,57.049999,43.573265,631597
2016-10-13,56.650002,56.700001,55.000000,55.750000,42.580360,1234092
2016-10-14,55.900002,56.450001,55.900002,56.099998,42.847679,845335
2016-10-17,56.000000,56.049999,55.400002,55.599998,42.465790,622464
2016-10-18,55.900002,56.200001,55.700001,56.150002,42.885864,749925
2016-10-19,57.900002,58.000000,57.299999,57.450001,43.878777,2027659
2016-10-20,57.900002,57.900002,56.849998,57.000000,43.535080,1197832
2016-10-21,57.099998,58.750000,56.900002,58.750000,44.871677,1590219
2016-10-24,58.900002,59.450001,58.099998,58.650002,44.795303,1330606
2016-10-25,59.049999,60.099998,58.750000,58.799999,44.909866,1555455
2016-10-26,58.900002,59.349998,58.700001,59.049999,45.100811,1002134
2016-10-27,58.950001,59.250000,58.500000,59.099998,45.139000,1353373
2016-10-28,58.599998,59.599998,58.200001,59.400002,45.368130,888068
2016-10-31,59.049999,59.099998,58.450001,58.849998,44.948055,753217
2016-11-01,58.799999,59.200001,58.299999,58.299999,44.527981,710610
2016-11-02,58.000000,58.000000,57.200001,57.400002,43.840588,800716
2016-11-03,57.349998,58.299999,56.950001,57.500000,43.916962,1130232
2016-11-04,57.049999,57.349998,56.500000,57.500000,43.916962,1056764
2016-11-07,58.000000,58.299999,57.450001,57.700001,44.069714,845115
2016-11-08,57.000000,58.599998,57.000000,57.599998,43.993340,1216847
2016-11-09,55.849998,57.750000,55.500000,57.650002,44.031532,1521868
2016-11-10,58.099998,60.450001,58.049999,59.849998,45.711826,2340345
2016-11-11,60.200001,60.549999,59.500000,59.950001,45.788208,1585499
2016-11-14,60.500000,62.349998,60.500000,61.700001,47.124809,1713748
2016-11-15,62.000000,62.750000,60.799999,61.049999,46.628357,1419999
2016-11-16,61.250000,61.750000,60.200001,60.450001,46.170090,1013467
2016-11-17,60.200001,61.349998,60.200001,60.450001,46.170090,1026891
