Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,17.700001,17.840000,17.459999,17.580000,12.513671,1031446
2015-10-13,17.570000,17.570000,17.219999,17.420000,12.399780,1317166
2015-10-14,17.360001,17.360001,16.980000,17.049999,12.136408,1746085
2015-10-15,17.129999,17.299999,17.049999,17.200001,12.243183,1706089
2015-10-16,17.250000,17.379999,17.200001,17.290001,12.307246,2291656
2015-10-19,17.290001,17.379999,17.040001,17.139999,12.200473,1532887
2015-10-20,17.150000,17.160000,16.950001,17.110001,12.179118,1515911
2015-10-21,17.190001,17.469999,17.070000,17.309999,12.321481,1692622
2015-10-22,17.370001,17.879999,17.299999,17.830000,12.691626,1811366
2015-10-23,17.950001,18.320000,17.910000,18.100000,12.883815,1916219
2015-10-26,18.110001,18.190001,17.940001,17.980000,12.798396,1319251
2015-10-27,17.920000,18.000000,17.700001,17.799999,12.670271,2008042
2015-10-28,17.809999,17.889999,17.620001,17.889999,12.734335,2188939
2015-10-29,18.049999,18.410000,17.790001,18.219999,12.969233,3698914
2015-10-30,18.260000,18.370001,18.100000,18.200001,12.954997,1332329
2015-11-02,18.150000,18.770000,18.150000,18.490000,13.161420,2091640
2015-11-03,18.510000,18.670000,18.450001,18.559999,13.211246,914049
2015-11-04,18.740000,18.790001,18.590000,18.620001,13.253956,1393719
2015-11-05,18.700001,18.700001,18.350000,18.440001,13.125832,1966570
2015-11-06,18.400000,18.780001,18.400000,18.700001,13.310904,1278426
2015-11-09,18.670000,18.760000,18.410000,18.440001,13.125832,914223
2015-11-10,18.549999,18.690001,18.370001,18.540001,13.197012,1425628
2015-11-11,18.530001,18.860001,18.520000,18.709999,13.318020,1665930
2015-11-12,18.750000,18.750000,18.350000,18.459999,13.140066,1547882
2015-11-13,18.450001,18.500000,18.250000,18.350000,13.061768,1453472
2015-11-16,18.219999,18.500000,18.219999,18.299999,13.026175,1395089
2015-11-17,18.440001,18.780001,18.370001,18.680000,13.296664,1539177
2015-11-18,18.660000,18.980000,18.570000,18.889999,13.446145,1781157
2015-11-19,18.950001,19.049999,18.840000,18.930000,13.474619,1308712
2015-11-20,19.049999,19.049999,18.820000,18.959999,13.495973,988096
2015-11-23,18.930000,18.940001,18.719999,18.840000,13.410557,971876
2015-11-24,18.799999,18.860001,18.480000,18.610001,13.246838,1006958
2015-11-25,18.600000,18.879999,18.600000,18.790001,13.374965,1017289
2015-11-26,18.760000,18.940001,18.709999,18.770000,13.360729,1291895
2015-11-27,18.660000,18.840000,18.570000,18.690001,13.303785,864312
2015-11-30,18.780001,19.010000,18.639999,18.969999,13.503090,1404872
2015-12-01,19.020000,19.299999,18.940001,19.080000,13.581391,2179864
2015-12-02,19.000000,19.290001,18.959999,19.160000,13.638335,1459649
2015-12-03,19.080000,19.250000,18.750000,18.809999,13.389201,2059428
2015-12-04,18.780001,18.780001,18.360001,18.520000,13.182776,1716170
2015-12-07,18.570000,18.730000,18.400000,18.459999,13.140066,1232370
2015-12-08,18.469999,18.469999,18.090000,18.250000,12.990586,1646455
2015-12-09,18.400000,18.430000,18.020000,18.250000,12.990586,1892087
2015-12-10,18.250000,18.410000,18.190001,18.270000,13.004823,1051331
2015-12-11,18.250000,18.280001,17.850000,17.990000,12.805514,1485359
2015-12-14,18.040001,18.120001,17.820000,17.930000,12.762807,1662518
2015-12-15,17.990000,18.330000,17.969999,18.330000,13.047531,1189809
2015-12-16,18.350000,18.570000,18.250000,18.459999,13.140066,1279426
2015-12-17,18.650000,18.940001,18.650000,18.850000,13.417673,1967360
2015-12-18,18.879999,18.879999,18.600000,18.760000,13.353611,1879565
2015-12-21,18.750000,18.790001,18.530001,18.530001,13.189894,891636
2015-12-22,18.680000,18.690001,18.360001,18.469999,13.147183,746102
2015-12-23,18.580000,18.910000,18.580000,18.840000,13.410557,807717
2015-12-28,18.900000,18.950001,18.719999,18.850000,13.417673,368855
2015-12-29,18.870001,19.129999,18.870001,19.120001,13.609866,1072482
2015-12-30,19.129999,19.170000,18.910000,19.010000,13.531564,1053702
2016-01-04,18.850000,18.870001,18.340000,18.400000,13.097359,2251232
2016-01-05,18.500000,18.639999,18.160000,18.280001,13.011942,2210145
2016-01-06,18.260000,18.309999,17.639999,17.719999,12.613327,2455229
2016-01-07,17.490000,17.490000,16.900000,17.150000,12.207594,3117063
2016-01-08,17.139999,17.350000,16.860001,16.860001,12.001165,1813566
2016-01-11,16.799999,17.030001,16.680000,16.750000,11.922866,1749678
2016-01-12,16.750000,17.320000,16.700001,17.080000,12.157765,1693433
2016-01-13,17.230000,17.480000,17.049999,17.139999,12.200473,1378339
2016-01-14,17.000000,17.010000,16.580000,16.940001,12.058111,1865499
2016-01-15,16.879999,17.049999,16.379999,16.480000,11.730677,1667288
2016-01-18,16.450001,16.629999,16.230000,16.299999,11.602551,1357363
2016-01-19,16.500000,16.969999,16.469999,16.680000,11.873041,2323372
2016-01-20,16.490000,16.500000,16.110001,16.309999,11.609668,2303743
2016-01-21,16.400000,16.580000,16.290001,16.459999,11.716441,1834092
2016-01-22,16.790001,17.080000,16.750000,16.840000,11.986930,1918617
2016-01-25,16.930000,16.940001,16.440001,16.570000,11.794739,2242591
2016-01-26,16.410000,16.709999,16.250000,16.670000,11.865923,1356510
2016-01-27,16.549999,16.660000,16.280001,16.580000,11.801859,2027738
2016-01-28,16.490000,16.809999,16.389999,16.469999,11.723559,1631373
2016-01-29,16.620001,16.750000,16.420000,16.650000,11.851686,2110605
2016-02-01,16.750000,16.780001,16.360001,16.570000,11.794739,1864175
2016-02-02,16.590000,16.629999,16.280001,16.350000,11.638143,1610870
2016-02-03,16.280001,16.520000,16.120001,16.309999,11.609668,1422384
2016-02-04,16.450001,16.450001,16.040001,16.299999,11.602551,1415617
2016-02-05,16.290001,16.559999,16.139999,16.389999,11.666613,1350052
2016-02-08,16.480000,16.500000,15.850000,15.940000,11.346297,2035437
2016-02-09,15.900000,15.990000,15.350000,15.560000,11.075809,2408886
2016-02-10,15.650000,16.030001,15.530000,15.810000,11.253763,1832842
2016-02-11,15.680000,15.690000,15.260000,15.340000,10.919211,2876876
2016-02-12,15.500000,15.660000,15.410000,15.640000,11.132755,1659642
2016-02-15,16.020000,16.170000,15.860000,16.070000,11.438833,2021654
2016-02-16,16.190001,16.299999,15.930000,16.240000,11.559841,1964399
2016-02-17,16.070000,16.070000,15.260000,15.790000,11.239527,6061629
2016-02-18,15.830000,16.180000,15.540000,15.910000,11.324944,2661452
2016-02-19,15.950000,16.350000,15.630000,15.870000,11.296470,2834855
2016-02-22,16.049999,16.540001,16.010000,16.459999,11.716441,2253609
2016-02-23,16.400000,16.510000,16.230000,16.309999,11.609668,2115604
2016-02-24,16.270000,16.299999,15.870000,16.309999,11.609668,1585805
2016-02-25,16.299999,16.490000,16.200001,16.320000,11.616788,1231889
2016-02-26,16.400000,16.730000,16.389999,16.570000,11.794739,1928448
2016-02-29,16.500000,16.780001,16.370001,16.719999,11.901512,1544611
2016-03-01,16.750000,17.059999,16.719999,17.059999,12.143528,1559380
2016-03-02,17.120001,17.190001,16.889999,17.030001,12.122175,1213414
2016-03-03,17.049999,17.190001,16.870001,16.959999,12.072347,2337661
2016-03-04,17.049999,17.270000,16.959999,17.219999,12.257419,2707705
2016-03-07,17.170000,17.400000,17.090000,17.280001,12.300128,1920629
2016-03-08,17.250000,17.520000,17.160000,17.320000,12.328599,2801166
2016-03-09,17.350000,17.530001,17.200001,17.430000,12.406898,1232678
2016-03-10,17.410000,17.700001,17.209999,17.209999,12.250301,2635961
2016-03-11,17.400000,17.480000,17.299999,17.400000,12.385545,1442246
2016-03-14,17.500000,17.700001,17.490000,17.549999,12.492314,1610179
2016-03-15,17.500000,17.610001,17.459999,17.530001,12.478082,1439840
2016-03-16,17.549999,17.650000,17.260000,17.459999,12.428253,1400238
2016-03-17,17.440001,17.450001,17.000000,17.190001,12.236064,2949042
2016-03-18,17.219999,17.340000,17.010000,17.100000,12.172002,3202430
