Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,132.399994,134.000000,131.800003,132.800003,107.946693,316474
2015-10-13,137.000000,139.399994,134.199997,134.699997,109.491119,457284
2015-10-14,135.399994,136.800003,133.500000,134.300003,109.165977,209390
2015-10-15,134.899994,134.899994,131.899994,133.000000,108.109276,221768
2015-10-16,133.800003,134.699997,132.199997,132.500000,107.702850,205746
2015-10-19,132.899994,133.600006,131.800003,132.300003,107.540268,167433
2015-10-20,132.500000,133.699997,131.300003,133.600006,108.596985,168135
2015-10-21,133.500000,133.800003,131.699997,133.199997,108.271843,128164
2015-10-22,133.399994,134.500000,132.100006,134.500000,109.328545,147856
2015-10-23,135.000000,135.800003,133.000000,135.000000,109.734978,194469
2015-10-26,135.199997,135.899994,134.800003,135.699997,110.303970,110028
2015-10-27,135.399994,135.600006,133.500000,133.899994,108.840836,125336
2015-10-28,133.899994,136.399994,133.699997,136.300003,110.791687,177651
2015-10-29,136.699997,137.000000,134.899994,136.399994,110.872963,188317
2015-10-30,136.899994,138.000000,135.800003,137.100006,111.441963,181783
2015-11-02,136.800003,138.699997,136.800003,138.300003,112.417381,233718
2015-11-03,138.300003,139.199997,137.699997,138.300003,112.417381,165975
2015-11-04,138.500000,139.100006,137.100006,137.600006,111.848396,199879
2015-11-05,138.199997,139.399994,137.800003,139.000000,112.986382,168264
2015-11-06,138.699997,139.500000,138.100006,139.000000,112.986382,173001
2015-11-09,139.199997,139.199997,136.100006,136.199997,110.710381,135207
2015-11-10,136.199997,137.100006,135.000000,136.000000,110.547821,184613
2015-11-11,135.800003,138.000000,135.800003,137.100006,111.441963,121440
2015-11-12,137.600006,137.800003,135.800003,136.500000,110.954254,129426
2015-11-13,135.899994,136.100006,134.500000,136.000000,110.547821,125575
2015-11-16,134.500000,137.800003,134.300003,137.300003,111.604546,182732
2015-11-17,137.800003,139.500000,137.399994,139.000000,112.986382,163317
2015-11-18,138.300003,139.399994,138.000000,139.000000,112.986382,150869
2015-11-19,139.100006,139.500000,135.399994,135.899994,110.466537,385206
2015-11-20,136.000000,137.000000,135.000000,136.399994,110.872963,246018
2015-11-23,136.000000,136.899994,135.300003,136.699997,111.116814,110626
2015-11-24,136.100006,136.800003,133.300003,134.399994,109.247261,166265
2015-11-25,134.199997,136.500000,134.199997,135.500000,110.141396,123847
2015-11-26,136.100006,137.300003,135.500000,136.899994,111.279388,95769
2015-11-27,136.600006,137.899994,135.899994,137.600006,111.848396,118847
2015-11-30,137.300003,139.500000,136.899994,139.100006,113.067673,169067
2015-12-01,139.000000,139.500000,137.699997,138.399994,112.498672,162019
2015-12-02,139.100006,139.399994,138.399994,139.199997,113.148949,148097
2015-12-03,138.600006,140.000000,137.100006,137.300003,111.604546,172469
2015-12-04,137.100006,137.300003,134.800003,136.800003,111.198112,169810
2015-12-07,137.000000,138.800003,137.000000,137.600006,111.848396,147281
2015-12-08,137.800003,138.600006,135.300003,135.500000,110.141396,193479
2015-12-09,136.000000,136.100006,134.800003,135.100006,109.816261,194997
2015-12-10,135.199997,136.199997,134.300003,135.100006,109.816261,112754
2015-12-11,135.100006,135.300003,132.699997,132.800003,107.946693,279657
2015-12-14,133.600006,134.100006,132.500000,132.500000,107.702850,152819
2015-12-15,133.500000,135.699997,133.199997,135.699997,110.303970,198279
2015-12-16,136.100006,136.300003,134.899994,135.500000,110.141396,120257
2015-12-17,136.600006,137.100006,135.399994,135.600006,110.222694,118782
2015-12-18,135.500000,135.500000,134.100006,134.800003,109.572411,356233
2015-12-21,134.699997,135.000000,133.300003,133.699997,108.678268,136826
2015-12-22,134.699997,134.699997,133.100006,134.100006,109.003418,108112
2015-12-23,134.899994,135.899994,134.699997,135.500000,110.141396,80920
2015-12-28,135.899994,138.000000,135.699997,137.600006,111.848396,47015
2015-12-29,138.000000,138.800003,137.699997,138.500000,112.579948,80533
2015-12-30,138.500000,139.199997,137.699997,137.800003,112.010971,104732
2016-01-04,137.300003,137.500000,134.199997,134.600006,109.409836,153358
2016-01-05,136.000000,136.699997,134.600006,136.300003,110.791687,113907
2016-01-06,135.800003,137.300003,133.199997,133.399994,108.434410,185816
2016-01-07,131.899994,132.000000,128.500000,129.899994,105.589417,250819
2016-01-08,130.000000,130.500000,127.699997,127.699997,103.801147,370819
2016-01-11,127.500000,129.199997,127.300003,128.199997,104.207581,153703
2016-01-12,128.500000,130.699997,128.000000,129.399994,105.182999,257957
2016-01-13,131.600006,132.300003,130.500000,131.100006,106.564857,139624
2016-01-14,129.899994,130.500000,127.800003,129.699997,105.426857,177267
2016-01-15,129.000000,130.500000,125.900002,126.500000,102.825729,278647
2016-01-18,129.000000,130.699997,128.500000,129.100006,104.939163,193897
2016-01-19,130.300003,133.500000,130.199997,131.600006,106.971283,241711
2016-01-20,130.000000,130.899994,126.099998,126.699997,102.988304,304833
2016-01-21,126.699997,129.000000,126.300003,127.300003,103.476021,277051
2016-01-22,129.000000,131.199997,128.199997,130.100006,105.752007,213493
2016-01-25,131.000000,131.399994,129.899994,131.100006,106.564857,132122
2016-01-26,129.399994,131.800003,128.800003,131.699997,107.052567,151225
2016-01-27,131.899994,132.899994,131.000000,132.899994,108.027977,158456
2016-01-28,131.800003,133.399994,131.800003,132.000000,107.296417,192304
2016-01-29,133.000000,135.000000,132.699997,135.000000,109.734978,274545
2016-02-01,136.000000,136.699997,133.500000,134.899994,109.653687,168378
2016-02-02,134.800003,135.000000,132.199997,133.000000,108.109276,124766
2016-02-03,133.399994,133.399994,130.899994,132.100006,107.377708,117892
2016-02-04,132.500000,132.899994,131.000000,131.899994,107.215118,139589
2016-02-05,132.300003,134.000000,131.800003,132.199997,107.458992,261018
2016-02-08,132.800003,133.199997,128.000000,128.600006,104.532722,200755
2016-02-09,127.699997,128.899994,126.300003,128.100006,104.126305,398862
2016-02-10,128.199997,131.199997,127.199997,128.000000,104.045006,247086
2016-02-11,126.599998,127.400002,123.800003,124.400002,101.118744,329187
2016-02-12,125.000000,127.199997,125.000000,126.599998,102.907021,210652
2016-02-15,129.000000,131.199997,128.800003,130.800003,106.320999,95320
2016-02-16,131.500000,131.699997,128.800003,130.000000,105.670723,213961
2016-02-17,130.600006,132.199997,130.399994,131.699997,107.052567,228078
2016-02-18,131.699997,134.100006,131.699997,132.699997,107.865410,182700
2016-02-19,132.300003,133.500000,130.699997,131.600006,106.971283,181099
2016-02-22,132.199997,134.000000,132.100006,132.600006,107.784134,182347
2016-02-23,131.300003,133.000000,131.100006,131.600006,106.971283,150466
2016-02-24,131.500000,131.500000,128.399994,131.600006,106.971283,134174
2016-02-25,130.500000,131.800003,129.800003,130.000000,105.670723,192147
2016-02-26,131.800003,132.600006,130.600006,130.600006,106.158432,168804
2016-02-29,129.699997,130.600006,128.800003,130.000000,105.670723,273562
2016-03-01,130.699997,133.899994,130.199997,133.000000,108.109276,247123
2016-03-02,134.300003,134.699997,128.800003,131.399994,106.808701,255767
2016-03-03,132.899994,135.600006,131.800003,134.600006,109.409836,205341
2016-03-04,135.500000,136.699997,134.699997,135.399994,110.060112,187969
2016-03-07,135.699997,136.000000,134.699997,136.000000,110.547821,132858
2016-03-08,135.300003,136.300003,134.399994,135.100006,109.816261,245800
2016-03-09,135.800003,136.699997,135.000000,135.500000,110.141396,116296
2016-03-10,134.899994,137.300003,133.699997,133.699997,108.678268,165956
2016-03-11,134.899994,136.199997,134.600006,135.899994,110.466537,112025
2016-03-14,136.500000,137.600006,136.100006,137.399994,111.685814,116283
2016-03-15,137.500000,137.500000,136.199997,136.899994,111.279388,139545
2016-03-16,137.300003,137.300003,136.100006,136.899994,111.279388,191939
2016-03-17,136.899994,137.399994,134.899994,136.300003,110.791687,169122
2016-03-18,136.300003,136.600006,135.000000,135.500000,110.141396,487100
2016-03-21,135.500000,136.100006,134.300003,135.500000,110.141396,159018
2016-03-22,136.000000,136.000000,134.100006,135.399994,110.060112,139362
2016-03-23,136.500000,137.000000,134.399994,135.100006,109.816261,118986
2016-03-24,134.300003,135.100006,133.600006,134.800003,109.572411,97818
2016-03-29,135.600006,136.000000,134.500000,136.000000,110.547821,103450
2016-03-30,136.300003,137.899994,136.300003,137.100006,111.441963,115461
2016-03-31,137.100006,137.399994,136.100006,136.699997,111.116814,140848
2016-04-01,135.000000,136.000000,134.399994,135.399994,110.060112,156638
2016-04-04,135.500000,137.100006,135.000000,136.399994,110.872963,149205
2016-04-05,135.399994,135.699997,133.800003,134.399994,109.247261,185070
2016-04-06,133.899994,135.000000,133.699997,134.500000,109.328545,346774
2016-04-07,135.100006,136.000000,134.899994,135.100006,109.816261,146417
2016-04-08,137.500000,138.600006,136.199997,137.600006,111.848396,250098
2016-04-11,138.699997,138.699997,137.600006,137.899994,112.092247,164816
2016-04-12,138.000000,138.000000,136.300003,137.199997,111.523239,146479
2016-04-13,138.000000,138.699997,137.199997,137.600006,111.848396,190968
2016-04-14,138.699997,138.899994,137.800003,137.800003,112.010971,119745
2016-04-15,138.100006,138.399994,137.199997,137.500000,111.767105,129838
2016-04-18,137.500000,137.500000,136.000000,136.500000,110.954254,151325
2016-04-19,139.000000,140.000000,134.800003,136.600006,111.035545,434551
2016-04-20,137.100006,142.199997,136.699997,141.600006,115.099792,385411
2016-04-21,141.699997,142.000000,139.699997,140.199997,113.961800,166282
2016-04-22,140.300003,140.600006,139.500000,140.100006,113.880516,151618
2016-04-25,140.800003,140.800003,139.199997,139.699997,113.555389,122844
2016-04-26,140.100006,140.500000,139.399994,140.100006,113.880516,167473
2016-04-27,139.600006,140.199997,138.300003,139.800003,113.636658,178937
2016-04-28,139.000000,139.699997,138.100006,139.500000,113.392807,154006
2016-04-29,138.100006,138.800003,136.800003,138.199997,112.336098,187264
2016-05-02,138.399994,139.399994,137.800003,138.000000,112.173515,151205
2016-05-03,137.699997,138.199997,137.000000,137.600006,111.848396,258188
2016-05-04,137.199997,138.199997,135.500000,136.399994,110.872963,220155
2016-05-06,132.899994,132.899994,131.500000,132.000000,111.379234,328900
2016-05-09,133.399994,134.800003,132.600006,133.800003,112.898048,214010
2016-05-10,134.199997,134.899994,133.600006,134.500000,113.488693,133463
2016-05-11,134.899994,134.899994,134.000000,134.699997,113.657448,113543
2016-05-12,134.899994,135.300003,134.100006,134.100006,113.151192,161372
2016-05-13,134.100006,134.500000,133.300003,134.300003,113.319939,111988
2016-05-17,134.500000,136.199997,134.199997,135.600006,114.416862,149835
2016-05-18,135.500000,136.199997,134.500000,135.800003,114.585609,157054
2016-05-19,135.600006,136.000000,134.899994,135.699997,114.501236,122932
2016-05-20,136.000000,137.399994,135.699997,137.399994,115.935661,144378
2016-05-23,137.399994,137.899994,136.899994,137.699997,116.188789,106834
2016-05-24,137.000000,138.300003,136.399994,138.300003,116.695061,158361
2016-05-25,138.699997,139.300003,137.699997,137.800003,116.273186,151120
2016-05-26,138.300003,139.500000,137.899994,139.500000,117.707603,125121
2016-05-27,139.500000,139.899994,138.399994,139.899994,118.045113,100740
2016-05-30,140.000000,140.500000,138.800003,139.100006,117.370102,60793
2016-05-31,139.399994,140.199997,138.500000,139.800003,117.960732,256467
