,ABB LTD,ADECCO,ALCON,AMS,CLARIANT,CS GROUP,GEBERIT,GIVAUDAN,JULIUS BAER,KUEHNE+NAGEL INT,LAFARGEHOLCIM,LOGITECH,LONZA,NESTLE,NOVARTIS,PARTNERS GROUP,RICHEMONT,ROCHE,SCHINDLER,SGS,SIKA,SONOVA,SWATCH GROUP,SWISS LIFE HOLDING,SWISS RE,SWISSCOM,TEMENOS,UBS GROUP,VIFOR,ZURICH INSURANCE
2015-10-12,18.059998999999998,73.0,,40.099998,17.58,22.6675,317.600006,1695.0,46.700001,132.800003,54.599998,13.25,122.640999,74.849998,78.542503,329.75,83.699997,254.5,148.100006,1809.0,51.966702000000005,128.5,402.5,230.899994,86.550003,492.60000599999995,41.349998,19.030001000000002,129.5,258.299988
2015-10-13,17.799999,72.199997,,39.349998,17.42,22.517401,313.899994,1694.0,46.32,134.699997,53.75,13.4,123.011002,75.0,78.012199,323.5,82.400002,255.69999700000002,147.100006,1790.0,51.400002,128.5,394.299988,226.399994,85.75,487.700012,42.0,18.83,132.899994,252.0
2015-10-14,17.66,71.800003,,39.299999,17.049999,22.1798,311.700012,1690.0,45.419998,134.300003,53.099998,13.45,122.178001,74.349998,77.305,326.0,82.400002,252.0,145.199997,1787.0,51.099998,126.0,393.700012,224.600006,85.25,481.0,42.299999,18.709999,132.100006,249.69999700000002
2015-10-15,17.65,72.800003,,40.349998,17.200001,22.3955,314.899994,1725.0,46.150002,133.0,54.0,13.45,123.103996,75.150002,78.233101,332.75,81.800003,253.80000299999998,145.399994,1800.0,51.883301,126.900002,393.700012,224.69999700000002,85.949997,482.39999400000005,42.0,18.92,133.0,250.600006
2015-10-16,17.360001,72.699997,,40.5,17.290001,22.9863,315.0,1732.0,47.220001,132.5,54.650002,13.5,127.550003,73.75,79.824303,335.75,80.349998,259.5,144.5,1799.0,52.833302,129.699997,380.399994,228.5,86.699997,488.200012,42.299999,19.5,135.600006,254.5
2015-10-19,17.1,72.050003,,40.0,17.139999,23.0895,314.299988,1745.0,46.599998,132.300003,54.400002,13.5,128.10600300000002,73.5,79.912697,337.25,80.849998,260.5,144.0,1793.0,52.733299,130.399994,375.299988,228.5,86.800003,487.39999400000005,42.099998,19.360001,138.0,252.30000299999998
2015-10-20,17.290001,72.300003,,40.200001,17.110001,23.342699,317.299988,1692.0,46.349998,133.600006,53.799999,13.55,129.216995,73.449997,78.5867,338.0,79.75,257.100006,145.199997,1796.0,52.9333,129.899994,371.299988,230.0,86.949997,490.60000599999995,41.900002,19.15,140.100006,252.0
2015-10-21,17.299999,70.650002,,40.450001,17.309998999999998,22.507998999999998,322.0,1703.0,46.759997999999996,133.199997,54.0,13.5,128.569,73.25,77.52600100000001,337.75,79.949997,253.30000299999998,146.199997,1794.0,53.366699,131.300003,369.700012,230.80000299999998,87.300003,490.5,45.5,19.030001000000002,139.5,253.5
2015-10-22,17.6,71.349998,,41.299999,17.83,22.170401000000002,327.899994,1751.0,48.139998999999996,134.5,54.900002,14.8,130.421997,74.800003,79.07289899999999,339.5,82.400002,260.700012,149.399994,1822.0,53.616699,133.0,382.5,233.899994,88.699997,504.0,45.650002,19.549999,138.899994,259.5
2015-10-23,18.15,72.900002,,41.849998,18.1,22.714399,334.299988,1767.0,49.119999,135.0,56.25,15.05,131.996002,75.5,79.912697,351.25,83.699997,264.299988,154.100006,1861.0,54.483299,134.699997,390.600006,234.0,89.800003,512.0,46.299999,20.09,140.5,259.799988
