Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
,,,,,,,,,
Wahl Mitglied der Kommission für Justiz und öffentliche Sicherheit,1/2019,,Wahl,07.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c70b29b065ca42bf85c660ac4e0487e3,
Keine Ladenöffnung am Berchtoldstag,6/2019,,Motion,14.01.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5fc4679b6e0f427394361460888f7fc8,
Standesinitiative ? Marschhalt beim E-Voting,2/2019,,Parlamentarische Initiative,07.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e364091da22e480095fb03960545d4d3,
Wahl Ersatzmitglied Obergericht,4/2019,,,14.01.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4e7cb424372b4d52bf7d8e5cf321b9c2,
"Einführung e-Collecting, elektronische Unterschriftensammlung für Initiativen und Referenden im Internet oder auf mobilen Endgeräten",5/2019,,Motion,14.01.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7ea3ad7713194104a4428b8a7cf85264,
Umweltbericht: Reduktion der Ammoniakemissionen,7/2019,,Postulat,14.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ffb9f3fafd3f4d508092a6361c2685f1,
Umweltbericht: CO2-Rückgewinnung im Kanton Zürich,8/2019,,Postulat,14.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ab931d59378e4654a143a59eef1c7f69,
Umweltbericht: Bericht Veloinfrastruktur verbessern und Veloverkehrsanteil erhöhen,9/2019,,Postulat,14.01.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b2b77c5e36e740e9b675bf851dda3dca,
Umweltbericht: Mehr Qualität in den Schutzgebieten,10/2019,,Postulat,14.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e7fd665f918444afa51f8daace1c3357,
