,Politician,Google Search Results
0,Jean-Luc Addor Ständerat,Ungefähr 11’000 Ergebnisse (0.35 Sekunden) 
1,Andreas Aebi Ständerat,Ungefähr 19’500 Ergebnisse (0.32 Sekunden) 
2,Matthias Aebischer Ständerat,Ungefähr 14’400 Ergebnisse (0.44 Sekunden) 
3,Thomas Aeschi Ständerat,Ungefähr 24’800 Ergebnisse (0.42 Sekunden) 
4,Céline Amaudruz Ständerat,Ungefähr 8’690 Ergebnisse (0.35 Sekunden) 
5,Gerhard Andrey Ständerat,Ungefähr 4’190 Ergebnisse (0.44 Sekunden) 
6,Sibel Arslan Ständerat,Ungefähr 6’140 Ergebnisse (0.30 Sekunden) 
7,Mustafa Atici Ständerat,Ungefähr 3’430 Ergebnisse (0.34 Sekunden) 
8,Christine Badertscher Ständerat,Ungefähr 3’350 Ergebnisse (0.33 Sekunden) 
9,Jacqueline Badran Ständerat,Ungefähr 12’300 Ergebnisse (0.43 Sekunden) 
10,Angelo Barrile Ständerat,Ungefähr 9’680 Ergebnisse (0.38 Sekunden) 
11,Kilian Baumann Ständerat,Ungefähr 8’130 Ergebnisse (0.44 Sekunden) 
12,Martin Bäumle Ständerat,Ungefähr 10’200 Ergebnisse (0.31 Sekunden) 
13,Judith Bellaïche Ständerat,Ungefähr 3’610 Ergebnisse (0.37 Sekunden) 
14,Samuel Bendahan Ständerat,Ungefähr 3’060 Ergebnisse (0.28 Sekunden) 
15,Kathrin Bertschy Ständerat,Ungefähr 7’160 Ergebnisse (0.45 Sekunden) 
16,Marianne Binder-Keller Ständerat,Ungefähr 8’150 Ergebnisse (0.42 Sekunden) 
17,Martina Bircher Ständerat,Ungefähr 6’050 Ergebnisse (0.34 Sekunden) 
18,Prisca Birrer-Heimo Ständerat,Ungefähr 8’990 Ergebnisse (0.42 Sekunden) 
19,Frédéric Borloz Ständerat,Ungefähr 2’360 Ergebnisse (0.50 Sekunden) 
20,Jacques Bourgeois Ständerat,Ungefähr 9’620 Ergebnisse (0.40 Sekunden) 
21,Philipp Matthias Bregy Ständerat,Ungefähr 17’700 Ergebnisse (0.51 Sekunden) 
22,Daniel Brélaz Ständerat,Ungefähr 3’710 Ergebnisse (0.38 Sekunden) 
23,Florence Brenzikofer Ständerat,Ungefähr 4’160 Ergebnisse (0.42 Sekunden) 
24,Thomas Brunner Ständerat,Ungefähr 67’800 Ergebnisse (0.34 Sekunden) 
25,Roland Rino Büchel Ständerat,Ungefähr 11’600 Ergebnisse (0.46 Sekunden) 
26,Michaël Buffat Ständerat,Ungefähr 5’880 Ergebnisse (0.45 Sekunden) 
27,Christine Bulliard-Marbach Ständerat,Ungefähr 6’400 Ergebnisse (0.47 Sekunden) 
28,Thomas Burgherr Ständerat,Ungefähr 7’180 Ergebnisse (0.43 Sekunden) 
29,Martin Candinas Ständerat,Ungefähr 9’180 Ergebnisse (0.43 Sekunden) 
30,Rocco Cattaneo Ständerat,Ungefähr 1’910 Ergebnisse (0.41 Sekunden) 
31,Isabelle Chevalley Ständerat,Ungefähr 4’610 Ergebnisse (0.48 Sekunden) 
32,Katja Christ Ständerat,Ungefähr 5’530 Ergebnisse (0.33 Sekunden) 
33,Christophe Clivaz Ständerat,Ungefähr 4’160 Ergebnisse (0.36 Sekunden) 
34,Damien Cottier Ständerat,Ungefähr 2’680 Ergebnisse (0.42 Sekunden) 
35,Brigitte Crottaz Ständerat,Ungefähr 1’970 Ergebnisse (0.34 Sekunden) 
36,Christian Dandrès Ständerat,Ungefähr 1’800 Ergebnisse (0.42 Sekunden) 
37,Thomas de Courten Ständerat,Ungefähr 8’680 Ergebnisse (0.36 Sekunden) 
38,Denis de la Reussille Ständerat,Ungefähr 3’110 Ergebnisse (0.42 Sekunden) 
39,Simone de Montmollin Ständerat,Ungefähr 1’930 Ergebnisse (0.42 Sekunden) 
40,Jacqueline de Quattro Ständerat,Ungefähr 4’510 Ergebnisse (0.37 Sekunden) 
41,Marcel Dettling Ständerat,Ungefähr 6’780 Ergebnisse (0.39 Sekunden) 
42,Marcel Dobler Ständerat,Ungefähr 11’300 Ergebnisse (0.41 Sekunden) 
43,Kurt Egger Ständerat,Ungefähr 27’800 Ergebnisse (0.36 Sekunden) 
