,Politician,Google Search Results
0,"""Conseillère nationale Stefania Prezioso Batou""",About 2 results (0.27 seconds) 
1,"""Nationalrat Jon Pult""",About 653 results (0.35 seconds) 
2,"""Conseillère nationale Valentine Python""",About 6 results (0.29 seconds) 
3,"""Nationalrat Lorenzo Quadri""",About 954 results (0.79 seconds) 
4,"""Nationalrat Thomas Rechsteiner""",About 499 results (0.34 seconds) 
5,"""Nationalrat Fabio Regazzi""","About 3,650 results (0.41 seconds) "
6,"""Nationalrat Lukas Reimann""","About 10,400 results (0.50 seconds) "
7,"""Conseiller national Mathias Reynard""","About 3,830 results (0.45 seconds) "
8,"""Nationalrätin Maja Riniker""",About 744 results (0.33 seconds) 
9,"""Nationalrat Markus Ritter""","About 4,160 results (0.55 seconds) "
10,"""Conseiller national Benjamin Roduit""",About 864 results (0.42 seconds) 
11,"""Nationalrat Marco Romano""","About 2,440 results (0.58 seconds) "
12,"""Nationalrat Albert Rösti""","About 5,690 results (0.45 seconds) "
13,"""Nationalrätin Franziska Roth""","About 2,430 results (0.42 seconds) "
14,"""Conseillère nationale Marie-France Roth Pasquier""",About 241 results (0.41 seconds) 
15,"""Nationalrätin Monika Rüegger""","About 1,020 results (0.37 seconds) "
16,"""Nationalrat Franz Ruppen""","About 2,310 results (0.41 seconds) "
17,"""Nationalrat Gregor Rutz""","About 9,980 results (0.43 seconds) "
18,"""Nationalrätin Franziska Ryser""","About 2,070 results (0.38 seconds) "
19,"""Nationalrätin Regula Rytz""","About 4,350 results (0.36 seconds) "
20,"""Nationalrätin Regine Sauter""","About 2,590 results (0.39 seconds) "
21,"""Nationalrätin Barbara Schaffner""",About 171 results (0.35 seconds) 
22,"""Nationalrat Peter Schilliger""","About 3,030 results (0.41 seconds) "
23,"""Nationalrätin Therese Schläpfer""","About 1,070 results (0.34 seconds) "
24,"""Nationalrätin Marionna Schlatter""",About 627 results (0.33 seconds) 
25,"""Nationalrätin Daniela Schneeberger""","About 4,520 results (0.40 seconds) "
26,"""Nationalrätin Meret Schneider""",About 990 results (0.36 seconds) 
27,"""Nationalrätin Ursula Schneider Schüttel""",About 726 results (0.36 seconds) 
28,"""Nationalrätin Elisabeth Schneider-Schneiter""","About 6,760 results (0.40 seconds) "
29,"""Nationalrat Pirmin Schwander""","About 4,950 results (0.43 seconds) "
30,"""Nationalrätin Priska Seiler Graf""","About 5,010 results (0.38 seconds) "
31,"""Nationalrat Heinz Siegenthaler""",About 619 results (0.41 seconds) 
32,"""Nationalrat Andri Silberschmidt""","About 2,250 results (0.38 seconds) "
33,"""Nationalrätin Sandra Sollberger""","About 3,340 results (0.39 seconds) "
34,"""Nationalrat Simon Stadler""",About 753 results (0.39 seconds) 
35,"""Nationalrätin Barbara Steinemann""","About 2,970 results (0.41 seconds) "
36,"""Conseiller national Bruno Storni""",About 25 results (0.33 seconds) 
37,"""Nationalrätin Marianne Streiff-Feller""","About 2,090 results (0.36 seconds) "
38,"""Nationalrat Manuel Strupler""",About 310 results (0.41 seconds) 
