,Politician,Google Search Results
0,"""Conseiller national Jean-Luc Addor""","About 2,520 results (0.59 seconds) "
1,"""Nationalrat Andreas Aebi""","About 2,950 results (0.64 seconds) "
2,"""Nationalrat Matthias Aebischer""","About 7,020 results (0.58 seconds) "
3,"""Nationalrat Thomas Aeschi""","About 25,500 results (0.51 seconds) "
4,"""Conseillère nationale Céline Amaudruz""","About 1,350 results (0.41 seconds) "
5,"""Nationalrat Gerhard Andrey""",About 421 results (0.39 seconds) 
6,"""Nationalrätin Sibel Arslan""","About 39,300 results (0.42 seconds) "
7,"""Nationalrat Mustafa Atici""",About 792 results (0.39 seconds) 
8,"""Nationalrätin Christine Badertscher""",About 521 results (0.38 seconds) 
9,"""Nationalrätin Jacqueline Badran""","About 15,600 results (0.41 seconds) "
10,"""Nationalrat Angelo Barrile""","About 5,700 results (0.45 seconds) "
11,"""Nationalrat Kilian Baumann""",About 740 results (0.38 seconds) 
12,"""Nationalrat Martin Bäumle""","About 3,510 results (0.59 seconds) "
13,"""Nationalrätin Judith Bellaïche""",About 270 results (0.42 seconds) 
14,"""Conseiller national Samuel Bendahan""",About 344 results (0.52 seconds) 
15,"""Nationalrätin Kathrin Bertschy""","About 3,460 results (0.43 seconds) "
16,"""Nationalrätin Marianne Binder-Keller""",About 812 results (0.37 seconds) 
17,"""Nationalrätin Martina Bircher""","About 4,460 results (0.41 seconds) "
18,"""Nationalrätin Prisca Birrer-Heimo""","About 2,230 results (0.42 seconds) "
19,"""Conseiller national Frédéric Borloz""",About 353 results (0.49 seconds) 
20,"""Conseiller national Jacques Bourgeois""","About 4,600 results (0.44 seconds) "
21,"""Nationalrat Philipp Matthias Bregy""","About 1,750 results (0.46 seconds) "
22,"""Conseiller national Daniel Brélaz""",About 647 results (0.44 seconds) 
23,"""Nationalrätin Florence Brenzikofer""","About 3,200 results (0.39 seconds) "
24,"""Nationalrat Thomas Brunner""",About 686 results (0.44 seconds) 
25,"""Nationalrat Roland Rino Büchel""","About 3,000 results (0.64 seconds) "
26,"""Conseiller national Michaël Buffat""","About 1,110 results (0.54 seconds) "
27,"""Nationalrätin Christine Bulliard-Marbach""","About 1,420 results (0.37 seconds) "
28,"""Nationalrat Thomas Burgherr""","About 3,750 results (0.63 seconds) "
29,"""Nationalrat Martin Candinas""","About 60,500 results (0.57 seconds) "
30,"""Nationalrat Rocco Cattaneo""",About 358 results (0.63 seconds) 
31,"""Conseillère nationale Isabelle Chevalley""","About 3,220 results (0.45 seconds) "
32,"""Nationalrätin Katja Christ""",About 674 results (0.35 seconds) 
33,"""Conseiller national Christophe Clivaz""",About 407 results (0.46 seconds) 
34,"""Conseiller national Damien Cottier""",About 113 results (0.41 seconds) 
35,"""Conseillère nationale Brigitte Crottaz""",About 221 results (0.38 seconds) 
36,"""Conseiller national Christian Dandrès""",About 122 results (0.42 seconds) 
37,"""Nationalrat Thomas de Courten""","About 4,320 results (0.66 seconds) "
38,"""Conseiller national Denis de la Reussille""",About 376 results (0.77 seconds) 
39,"""Conseillère nationale Simone de Montmollin""",About 244 results (0.48 seconds) 
40,"""Conseillère nationale Jacqueline de Quattro""",About 845 results (0.66 seconds) 
41,"""Nationalrat Marcel Dettling""","About 3,950 results (0.70 seconds) "
42,"""Nationalrat Marcel Dobler""","About 6,430 results (0.61 seconds) "
43,"""Nationalrat Kurt Egger""",About 613 results (0.45 seconds) 
44,"""Nationalrat Mike Egger""","About 4,200 results (0.60 seconds) "
45,"""Nationalrätin Yvette Estermann""","About 5,290 results (0.48 seconds) "
46,"""Nationalrat Christoph Eymann""","About 2,390 results (0.68 seconds) "
47,"""Nationalrat Alex Farinelli""",About 185 results (0.37 seconds) 
