,Politician,Google Search Results
0,"""Nationalrat Jean-Luc Addor""",Ungefähr 2’120 Ergebnisse (0.37 Sekunden) 
1,"""Nationalrat Andreas Aebi""",Ungefähr 1’780 Ergebnisse (0.45 Sekunden) 
2,"""Nationalrat Matthias Aebischer""",Ungefähr 4’700 Ergebnisse (0.36 Sekunden) 
3,"""Nationalrat Thomas Aeschi""",Ungefähr 14’500 Ergebnisse (0.46 Sekunden) 
4,"""Nationalrat Céline Amaudruz""",Ungefähr 103 Ergebnisse (0.42 Sekunden) 
5,"""Nationalrat Gerhard Andrey""",Ungefähr 379 Ergebnisse (0.30 Sekunden) 
6,"""Nationalrat Sibel Arslan""",Ungefähr 39 Ergebnisse (0.42 Sekunden) 
7,"""Nationalrat Mustafa Atici""",Ungefähr 906 Ergebnisse (0.48 Sekunden) 
8,"""Nationalrat Christine Badertscher""",Ungefähr 4 Ergebnisse (0.36 Sekunden) 
9,"""Nationalrat Jacqueline Badran""",Ungefähr 94 Ergebnisse (0.41 Sekunden) 
10,"""Nationalrat Angelo Barrile""",Ungefähr 1’250 Ergebnisse (0.40 Sekunden) 
11,"""Nationalrat Kilian Baumann""",Ungefähr 736 Ergebnisse (0.34 Sekunden) 
12,"""Nationalrat Martin Bäumle""",Ungefähr 2’220 Ergebnisse (0.43 Sekunden) 
13,"""Nationalrat Judith Bellaïche""",4 Ergebnisse (0.31 Sekunden) 
14,"""Nationalrat Samuel Bendahan""",Ungefähr 359 Ergebnisse (0.37 Sekunden) 
15,"""Nationalrat Kathrin Bertschy""",10 Ergebnisse (0.39 Sekunden) 
16,"""Nationalrat Marianne Binder-Keller""",Ungefähr 5 Ergebnisse (0.33 Sekunden) 
17,"""Nationalrat Martina Bircher""",Ungefähr 2 Ergebnisse (0.30 Sekunden) 
18,"""Nationalrat Prisca Birrer-Heimo""",Ungefähr 61 Ergebnisse (0.41 Sekunden) 
19,"""Nationalrat Frédéric Borloz""",Ungefähr 153 Ergebnisse (0.40 Sekunden) 
20,"""Nationalrat Jacques Bourgeois""",Ungefähr 1’950 Ergebnisse (0.37 Sekunden) 
21,"""Nationalrat Philipp Matthias Bregy""",Ungefähr 1’660 Ergebnisse (0.36 Sekunden) 
22,"""Nationalrat Daniel Brélaz""",Ungefähr 3’110 Ergebnisse (0.42 Sekunden) 
23,"""Nationalrat Florence Brenzikofer""",5 Ergebnisse (0.31 Sekunden) 
24,"""Nationalrat Thomas Brunner""",Ungefähr 684 Ergebnisse (0.33 Sekunden) 
25,"""Nationalrat Roland Rino Büchel""",Ungefähr 2’130 Ergebnisse (0.53 Sekunden) 
26,"""Nationalrat Michaël Buffat""",Ungefähr 359 Ergebnisse (0.40 Sekunden) 
27,"""Nationalrat Christine Bulliard-Marbach""",Ungefähr 3 Ergebnisse (0.46 Sekunden) 
28,"""Nationalrat Thomas Burgherr""",Ungefähr 3’700 Ergebnisse (0.45 Sekunden) 
29,"""Nationalrat Martin Candinas""",Ungefähr 31’700 Ergebnisse (0.47 Sekunden) 
30,"""Nationalrat Rocco Cattaneo""",Ungefähr 308 Ergebnisse (0.57 Sekunden) 
31,"""Nationalrat Isabelle Chevalley""",Ungefähr 382 Ergebnisse (0.34 Sekunden) 
32,"""Nationalrat Katja Christ""",Ungefähr 9 Ergebnisse (0.34 Sekunden) 
33,"""Nationalrat Christophe Clivaz""",Ungefähr 422 Ergebnisse (0.34 Sekunden) 
34,"""Nationalrat Damien Cottier""",Ungefähr 119 Ergebnisse (0.41 Sekunden) 
35,"""Nationalrat Brigitte Crottaz""",Ungefähr 2’120 Ergebnisse (0.74 Sekunden) 
