"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Wohnort vor 1 Jahr, Geschlecht und Alter"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";"Wohnort vor 1 Jahr";"Geschlecht";"Alter - Total"
"2019";"......0001 Aeugst am Albis";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1981
"2019";"......0002 Affoltern am Albis";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";12303
"2019";"......0003 Bonstetten";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5572
"2019";"......0004 Hausen am Albis";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3751
"2019";"......0005 Hedingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3778
"2019";"......0006 Kappel am Albis";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1221
"2019";"......0007 Knonau";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2378
"2019";"......0008 Maschwanden";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";645
"2019";"......0009 Mettmenstetten";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5200
"2019";"......0010 Obfelden";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5721
"2019";"......0011 Ottenbach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2588
"2019";"......0012 Rifferswil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1129
"2019";"......0013 Stallikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3755
"2019";"......0014 Wettswil am Albis";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5240
"2019";"......0021 Adlikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";698
"2019";"......0022 Benken (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";845
"2019";"......0023 Berg am Irchel";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";577
"2019";"......0024 Buch am Irchel";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";979
"2019";"......0025 Dachsen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1916
"2019";"......0026 Dorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";658
"2019";"......0027 Feuerthalen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3614
"2019";"......0028 Flaach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1420
"2019";"......0029 Flurlingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1477
"2019";"......0030 Andelfingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2247
"2019";"......0031 Henggart";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2234
"2019";"......0032 Humlikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";485
"2019";"......0033 Kleinandelfingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2074
"2019";"......0034 Laufen-Uhwiesen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1761
"2019";"......0035 Marthalen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1918
"2019";"......0037 Ossingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1668
"2019";"......0038 Rheinau";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1316
"2019";"......0039 Thalheim an der Thur";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";938
"2019";"......0040 Trüllikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1061
"2019";"......0041 Truttikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";463
"2019";"......0043 Volken";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";380
"2019";"......0292 Stammheim";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2790
"2019";"......0051 Bachenbülach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";4180
"2019";"......0052 Bassersdorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";11824
"2019";"......0053 Bülach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";21372
"2019";"......0054 Dietlikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";7847
"2019";"......0055 Eglisau";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5339
"2019";"......0056 Embrach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";9421
"2019";"......0057 Freienstein-Teufen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2389
"2019";"......0058 Glattfelden";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5217
"2019";"......0059 Hochfelden";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1982
"2019";"......0060 Höri";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2872
"2019";"......0061 Hüntwangen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1057
"2019";"......0062 Kloten";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";20130
"2019";"......0063 Lufingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2417
"2019";"......0064 Nürensdorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5602
"2019";"......0065 Oberembrach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1121
"2019";"......0066 Opfikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";21014
"2019";"......0067 Rafz";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";4661
"2019";"......0068 Rorbas";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2885
"2019";"......0069 Wallisellen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";16841
"2019";"......0070 Wasterkingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";563
"2019";"......0071 Wil (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1474
"2019";"......0072 Winkel";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";4535
"2019";"......0081 Bachs";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";592
"2019";"......0082 Boppelsen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1432
"2019";"......0083 Buchs (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";6565
"2019";"......0084 Dällikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";4177
"2019";"......0085 Dänikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1861
"2019";"......0086 Dielsdorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5966
"2019";"......0087 Hüttikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";952
"2019";"......0088 Neerach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3175
"2019";"......0089 Niederglatt";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";4993
"2019";"......0090 Niederhasli";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";9345
"2019";"......0091 Niederweningen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3073
"2019";"......0092 Oberglatt";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";7228
"2019";"......0093 Oberweningen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1790
"2019";"......0094 Otelfingen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2982
"2019";"......0095 Regensberg";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";469
"2019";"......0096 Regensdorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";18540
"2019";"......0097 Rümlang";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";8233
"2019";"......0098 Schleinikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";758
"2019";"......0099 Schöfflisdorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1377
"2019";"......0100 Stadel";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2293
"2019";"......0101 Steinmaur";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3609
"2019";"......0102 Weiach";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1903
"2019";"......0111 Bäretswil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5053
"2019";"......0112 Bubikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";7344
"2019";"......0113 Dürnten";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";7606
"2019";"......0114 Fischenthal";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";2516
"2019";"......0115 Gossau (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";10280
"2019";"......0116 Grüningen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";3641
"2019";"......0117 Hinwil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";11277
"2019";"......0118 Rüti (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";12286
"2019";"......0119 Seegräben";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";1430
"2019";"......0120 Wald (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";10096
"2019";"......0121 Wetzikon (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";24990
"2019";"......0131 Adliswil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";18944
"2019";"......0135 Kilchberg (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";8923
"2019";"......0136 Langnau am Albis";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";7727
"2019";"......0137 Oberrieden";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5002
"2019";"......0138 Richterswil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";13632
"2019";"......0139 Rüschlikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";6092
"2019";"......0141 Thalwil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";18139
"2019";"......0293 Wädenswil";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";24624
"2019";"......0295 Horgen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";22992
"2019";"......0151 Erlenbach (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";5592
"2019";"......0152 Herrliberg";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";6460
"2019";"......0153 Hombrechtikon";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";8775
"2019";"......0154 Küsnacht (ZH)";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";14564
"2019";"......0155 Männedorf";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";11359
"2019";"......0156 Meilen";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";14335
"2019";"......0157 Oetwil am See";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";4840
"2019";"......0158 Stäfa";"Ständige Wohnbevölkerung";"Wohnort vor 1 Jahr - Total";"Geschlecht - Total";14718
