From,To,Strength
1013596464,3356449019,4
1035070134975647745,613430697,3
1082650726617239552,859732412204449792,4
1082650726617239552,940281482228174848,4
1122183858244419584,4195418153,3
1146782084717076480,1146782084717076480,5
1202524749911527425,3307127219,3
1203761528090103810,1277220496694747136,4
1277220496694747136,2973102701,3
1637562732,1637562732,3
204913392,1277220496694747136,4
223794936,223794936,3
2270536758,2270536758,3
245458261,61778274,3
3091411205,967838921018302470,3
313300303,1425976159,3
3356449019,1013596464,3
336172606,527477406,3
4910052503,4910052503,3
516305074,516305074,6
61778274,245458261,3
630653641,750409733136379904,4
707135133183307776,19853881,4
734668928526524417,142743637,3
734668928526524417,882186210277502976,4
859732412204449792,1082650726617239552,3
882186210277502976,734668928526524417,4
902853449246793728,1122183858244419584,3
902853449246793728,859732412204449792,3
902853449246793728,902853449246793728,3
917466885515628544,1082650726617239552,3
921764366697091072,921764366697091072,5
940281482228174848,940281482228174848,4
941079086486687744,941079086486687744,3
