id	interessenbindung_id	jahr	verguetung	beschreibung	quelle_url	quelle_url_gueltig	quelle	freigabe_datum
15	753	2014	6000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
17	755	2014	15000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
19	757	2014	"0"		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
22	1586	2018	1200		"http://www.braendi.ch/2014/ueber_uns/stiftungsrat/"		"Mail Birrer-Heimo 16.3.18"	2019-08-25T10:54:11
23	1587	2018	18000		"https://www.konsumentenschutz.ch/ueber-uns/stiftung/"		"Mail Birrer-Heimo 16.3.18"	2019-08-25T10:54:11
29	1789	2014	104000		"http://www.parlament.ch/d/suche/seiten/biografie.aspx?biografie_id=4052"			2020-04-16T10:12:54
69	2182	2015	1000				"E. von Siebenthal"	2020-04-13T08:48:30
70	2184	2015	3000				"Erich von Siebenthal"	2020-04-13T08:48:30
71	2183	2015	"0"				"Erich von Siebenthal"	2020-04-13T08:48:30
72	2185	2015	"0"				"Erich von Siebenthal"	2020-04-13T08:48:30
74	2190	2015	1000				"Erich von Siebenthal"	2020-04-13T08:48:30
76	2191	2015	"0"				"Erich von Siebenthal"	2020-04-13T08:48:30
77	2189	2015	"0"	"Fr. 200.-/Sitzung"			"Erich von Siebenthal"	2020-04-13T08:48:30
81	499	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
84	2050	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
85	2051	2015	3000				"A. Geissbühler"	2020-04-19T19:29:13
86	2061	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
87	2062	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
88	2063	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
89	2064	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
90	2065	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
91	2066	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
93	2208	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13
116	2343	2015	60000	"inkl. Spesenentschädigung"				2020-03-27T13:28:36
117	842	2015	"0"				"Th. Hurter"	2020-04-04T19:23:44
118	1754	2015	400				"Th. Hurter"	2020-04-04T19:23:44
119	2077	2015	"0"				"Th. Hurter"	2020-04-04T19:23:44
120	2078	2015	400				"Th. Hurter"	2020-04-04T19:23:44
121	2079	2015	"0"				"Th. Hurter"	2020-04-04T19:23:44
129	2047	2015	"0"				"R. Fischer"	2020-01-14T11:57:42
148	1267	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
149	2372	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
150	2373	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
151	2374	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
152	2375	2015	5500					2020-12-01T06:18:04
153	2376	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
154	2377	2015	770				"Regula Rytz"	2020-12-01T06:18:04
156	2454	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
157	2473	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
158	2677	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04
163	3110	2015	"0"				"Angaben Denis de la Reussille 21.1.16"	2020-04-13T09:19:56
166	3111	2015	"0"				"Angaben Denis de la Reussille 21.1.16"	2020-04-13T09:19:56
167	3112	2015	"0"				"Angaben Denis de la Reussille 21.1.16"	2020-04-13T09:19:56
168	3317	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
169	3402	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
170	3411	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
171	3415	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
172	3405	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
173	3412	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
174	3404	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
175	3414	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
176	3318	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
177	3413	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
178	3410	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
179	3406	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
180	3408	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
181	3409	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
182	3399	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
