id	person_id	organisation_id	art	funktion_im_gremium	hauptberuflich	beschreibung	beschreibung_fr	quelle_url	quelle_url_gueltig	quelle	von	bis	freigabe_datum
38	32	26	"geschaeftsfuehrend"	"mitglied"	"0"	"Generalsekretär"	"Secrétaire général"	"http://www.freieberufe.ch/de/verband/vorstand/?oid=1801&lang=de"					2016-03-18T11:03:50
46	4	391	"taetig"		1	"Leiter Public Affairs"	"Chef Public Affairs"	"https://www.hirslanden.ch/de/corporate/hirslanden-gruppe/unternehmensprofil/gesundheitspolitik.html"					2016-04-23T09:51:58
47	4	282	"vorstand"	"vizepraesident"	"0"			"http://www.privatehospitals.ch/organisation/"					2016-04-23T09:51:58
48	4	261	"mitglied"		"0"			"https://www.forumgesundheitschweiz.ch/mitglieder.html"					2016-04-23T09:51:58
49	4	6071	"taetig"		"0"	"Mitglied Grosser Rat"	"Membre du Grand Conseil"				2008-04-06		2016-04-23T09:51:58
132	60	179	"geschaeftsfuehrend"	"mitglied"	"0"			"http://www.pro-velo.ch/pro-velo/geschaeftsstelle/team/"					2017-03-06T21:00:15
166	318	596	"geschaeftsfuehrend"		"0"	"Geschäftsführer"	"Directeur"	"https://spitexprivee.swiss/fr/association-des-organisations-spitex-privees-suisse/comite-et-direction.html"					2020-05-07T12:53:53
167	318	577	"geschaeftsfuehrend"		"0"	"Geschäftsführer"	"Secrétaire gérant"	"https://www.parlament.ch/centers/documents/de/parlamentarische-gruppen.pdf"					2020-05-07T12:53:53
175	406	557	"geschaeftsfuehrend"	"mitglied"	"0"	"Leiter Unternehmenskommunikation"		"https://www.swisscom.ch/de/about/ghq-hidden-pages/portrait/stefan-nuenlist.html"			2013-07-17		2019-07-21T12:48:45
185	22	653	"vorstand"	"mitglied"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-105.885.944"			2009-02-12		2018-11-16T15:48:22
187	22	654	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-106.270.366"			2008-09-22		2018-11-16T15:48:22
188	22	655	"vorstand"	"praesident"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-109.732.535"			2012-08-03		2018-11-16T15:48:22
190	22	657	"taetig"		"0"	"Präsident Wirtschaftskommission"	"Président de la commission économique"	"https://www.cvp.ch/de/die-cvp/arbeitsgruppen/arbeitsgruppe-wirtschaft"					2018-11-16T15:48:22
228	21	129	"geschaeftsfuehrend"		1	"Geschäftsführer"	"Directeur"	"https://www.geliko.ch/de/ueberdiegeliko/geschaeftsstelle"					2016-03-18T11:06:40
229	21	713	"geschaeftsfuehrend"		"0"	"Gesellschafter und Geschäftsführer"	"associé gérant"	"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-111.739.392"					2016-03-18T11:06:40
230	21	714	"geschaeftsfuehrend"		"0"	"Generalrekretär"	"Secrétaire général"	"https://www.swissnoso.ch/ueber-uns/generalsekretariat/"					2016-03-18T11:06:40
232	21	716	"geschaeftsfuehrend"		"0"	"Gesellschafter und Geschäftsführer"	"associé gérant"	"https://ag.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-115.446.954"					2016-03-18T11:06:40
234	21	50	"geschaeftsfuehrend"		"0"	"Mitglied Geschäftsleitung, Finanzverantwortlicher"	"Membre de la direction, responsable des finances"	"https://www.travailsuisse.ch/de/about"					2016-03-18T11:06:40
235	21	718	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-109.996.519"					2016-03-18T11:06:40
245	396	736	"vorstand"	"mitglied"	"0"			"https://www.rc2.vd.ch/registres/hrcintapp-pub/companyReport.action?companyOfrcId13=CH-550-0085094-0&lang=2&showHeader=false&showBookmark=false"					2016-03-18T11:03:50
246	187	388	"vorstand"	"praesident"	"0"			"https://zg.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-113.829.155"			2007-09-28		2016-11-10T14:52:01
252	266	773	"geschaeftsfuehrend"		1	"Generalsekretär"	"Secrétaire général"						2020-07-28T10:13:59
