:TYPE	id:START_ID(branche_id)	kommission_id:END_ID(kommission_id)
HAT_ZUSTAENDIGE_KOMMISSION	1	1
HAT_ZUSTAENDIGE_KOMMISSION	2	1
HAT_ZUSTAENDIGE_KOMMISSION	3	3
HAT_ZUSTAENDIGE_KOMMISSION	4	3
HAT_ZUSTAENDIGE_KOMMISSION	5	5
HAT_ZUSTAENDIGE_KOMMISSION	7	9
HAT_ZUSTAENDIGE_KOMMISSION	8	9
HAT_ZUSTAENDIGE_KOMMISSION	9	11
HAT_ZUSTAENDIGE_KOMMISSION	13	17
HAT_ZUSTAENDIGE_KOMMISSION	14	13
HAT_ZUSTAENDIGE_KOMMISSION	15	11
HAT_ZUSTAENDIGE_KOMMISSION	16	7
HAT_ZUSTAENDIGE_KOMMISSION	17	9
HAT_ZUSTAENDIGE_KOMMISSION	18	5
