:TYPE	id:START_ID(branche_id)	kommission2_id:END_ID(kommission_id)
HAT_ZUSTAENDIGE_KOMMISSION	1	47
HAT_ZUSTAENDIGE_KOMMISSION	2	47
HAT_ZUSTAENDIGE_KOMMISSION	3	48
HAT_ZUSTAENDIGE_KOMMISSION	4	48
HAT_ZUSTAENDIGE_KOMMISSION	5	49
HAT_ZUSTAENDIGE_KOMMISSION	7	51
HAT_ZUSTAENDIGE_KOMMISSION	8	51
HAT_ZUSTAENDIGE_KOMMISSION	9	52
HAT_ZUSTAENDIGE_KOMMISSION	13	55
HAT_ZUSTAENDIGE_KOMMISSION	14	53
HAT_ZUSTAENDIGE_KOMMISSION	15	52
HAT_ZUSTAENDIGE_KOMMISSION	16	50
HAT_ZUSTAENDIGE_KOMMISSION	17	51
HAT_ZUSTAENDIGE_KOMMISSION	18	49
