:TYPE	id:int	interessenbindung_id:int	jahr:int	verguetung:int	beschreibung:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	freigabe_datum:localdatetime	parlamentarier_id:END_ID(parlamentarier_id)	organisation_id:START_ID(organisation_id)
VERGUETED	15	753	2014	6000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	1005
VERGUETED	17	755	2014	15000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	154
VERGUETED	19	757	2014	"0"		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48	210	1008
VERGUETED	22	1586	2018	1200		"http://www.braendi.ch/2014/ueber_uns/stiftungsrat/"		"Mail Birrer-Heimo 16.3.18"	2019-08-25T10:54:11	55	1671
VERGUETED	23	1587	2018	18000		"https://www.konsumentenschutz.ch/ueber-uns/stiftung/"		"Mail Birrer-Heimo 16.3.18"	2019-08-25T10:54:11	55	35
VERGUETED	29	1789	2014	104000		"http://www.parlament.ch/d/suche/seiten/biografie.aspx?biografie_id=4052"			2020-04-16T10:12:54	178	47
VERGUETED	69	2182	2015	1000				"E. von Siebenthal"	2020-04-13T08:48:30	206	2423
VERGUETED	70	2184	2015	3000				"Erich von Siebenthal"	2020-04-13T08:48:30	206	2425
VERGUETED	71	2183	2015	"0"				"Erich von Siebenthal"	2020-04-13T08:48:30	206	2424
VERGUETED	72	2185	2015	"0"				"Erich von Siebenthal"	2020-04-13T08:48:30	206	2426
VERGUETED	74	2190	2015	1000				"Erich von Siebenthal"	2020-04-13T08:48:30	206	2427
VERGUETED	76	2191	2015	"0"				"Erich von Siebenthal"	2020-04-13T08:48:30	206	2428
VERGUETED	77	2189	2015	"0"	"Fr. 200.-/Sitzung"			"Erich von Siebenthal"	2020-04-13T08:48:30	206	47
VERGUETED	81	499	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	637
VERGUETED	84	2050	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	384
VERGUETED	85	2051	2015	3000				"A. Geissbühler"	2020-04-19T19:29:13	93	1194
VERGUETED	86	2061	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	2229
VERGUETED	87	2062	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	2230
VERGUETED	88	2063	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	365
VERGUETED	89	2064	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	1348
VERGUETED	90	2065	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	602
VERGUETED	91	2066	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	477
VERGUETED	93	2208	2015	"0"				"A. Geissbühler"	2020-04-19T19:29:13	93	311
VERGUETED	116	2343	2015	60000	"inkl. Spesenentschädigung"				2020-03-27T13:28:36	125	49
VERGUETED	117	842	2015	"0"				"Th. Hurter"	2020-04-04T19:23:44	120	244
VERGUETED	118	1754	2015	400				"Th. Hurter"	2020-04-04T19:23:44	120	1846
VERGUETED	119	2077	2015	"0"				"Th. Hurter"	2020-04-04T19:23:44	120	2244
VERGUETED	120	2078	2015	400				"Th. Hurter"	2020-04-04T19:23:44	120	2245
VERGUETED	121	2079	2015	"0"				"Th. Hurter"	2020-04-04T19:23:44	120	1928
VERGUETED	129	2047	2015	"0"				"R. Fischer"	2020-01-14T11:57:42	82	996
VERGUETED	148	1267	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	1504
VERGUETED	149	2372	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	2576
VERGUETED	150	2373	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	1108
VERGUETED	151	2374	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	1380
VERGUETED	152	2375	2015	5500					2020-12-01T06:18:04	183	2577
VERGUETED	153	2376	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	2578
VERGUETED	154	2377	2015	770				"Regula Rytz"	2020-12-01T06:18:04	183	2579
VERGUETED	156	2454	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	2576
VERGUETED	157	2473	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	2680
VERGUETED	158	2677	2015	"0"				"Regula Rytz"	2020-12-01T06:18:04	183	2841
VERGUETED	163	3110	2015	"0"				"Angaben Denis de la Reussille 21.1.16"	2020-04-13T09:19:56	276	1180
VERGUETED	166	3111	2015	"0"				"Angaben Denis de la Reussille 21.1.16"	2020-04-13T09:19:56	276	3178
VERGUETED	167	3112	2015	"0"				"Angaben Denis de la Reussille 21.1.16"	2020-04-13T09:19:56	276	1651
VERGUETED	168	3317	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3322
VERGUETED	169	3402	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	1829
VERGUETED	170	3411	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	1063
VERGUETED	171	3415	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3350
VERGUETED	172	3405	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	989
VERGUETED	173	3412	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	1065
VERGUETED	174	3404	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3345
VERGUETED	175	3414	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3349
VERGUETED	176	3318	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3323
VERGUETED	177	3413	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3348
VERGUETED	178	3410	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	1376
VERGUETED	179	3406	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3346
VERGUETED	180	3408	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3347
VERGUETED	181	3409	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	347
VERGUETED	182	3399	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3343
VERGUETED	183	3396	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3341
VERGUETED	185	3397	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3415
VERGUETED	186	3320	2015	3000	"Sitzungsgelder und Entschädigungen"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3325
VERGUETED	187	3401	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	3344
VERGUETED	188	3403	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	28
VERGUETED	189	3407	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08	265	602
VERGUETED	202	3890	2015	2000		"https://www.zg.ch/behoerden/regierungsrat/downloads/Register%20Mandate%20RR%202015_18.01.2016.pdf/download"			2020-03-29T08:22:57	317	700
