:TYPE	id:START_ID(interessengruppe_id)	branche_id:END_ID(branche_id)
IST_IN_BRANCHE	1	1
IST_IN_BRANCHE	2	1
IST_IN_BRANCHE	3	1
IST_IN_BRANCHE	4	1
IST_IN_BRANCHE	5	1
IST_IN_BRANCHE	6	1
IST_IN_BRANCHE	7	1
IST_IN_BRANCHE	8	1
IST_IN_BRANCHE	9	1
IST_IN_BRANCHE	10	8
IST_IN_BRANCHE	12	2
IST_IN_BRANCHE	13	14
IST_IN_BRANCHE	14	14
IST_IN_BRANCHE	15	1
IST_IN_BRANCHE	16	9
IST_IN_BRANCHE	17	9
IST_IN_BRANCHE	18	9
IST_IN_BRANCHE	19	9
IST_IN_BRANCHE	20	14
IST_IN_BRANCHE	21	16
IST_IN_BRANCHE	23	9
IST_IN_BRANCHE	24	14
IST_IN_BRANCHE	25	2
IST_IN_BRANCHE	26	5
IST_IN_BRANCHE	27	7
IST_IN_BRANCHE	28	7
IST_IN_BRANCHE	29	3
IST_IN_BRANCHE	30	3
IST_IN_BRANCHE	31	3
IST_IN_BRANCHE	32	3
IST_IN_BRANCHE	33	5
IST_IN_BRANCHE	34	8
IST_IN_BRANCHE	35	14
IST_IN_BRANCHE	36	5
IST_IN_BRANCHE	38	9
IST_IN_BRANCHE	39	15
IST_IN_BRANCHE	40	13
IST_IN_BRANCHE	41	7
IST_IN_BRANCHE	42	9
IST_IN_BRANCHE	43	5
IST_IN_BRANCHE	44	8
IST_IN_BRANCHE	45	9
IST_IN_BRANCHE	46	3
IST_IN_BRANCHE	47	18
IST_IN_BRANCHE	48	18
IST_IN_BRANCHE	49	18
IST_IN_BRANCHE	50	9
IST_IN_BRANCHE	51	9
IST_IN_BRANCHE	52	9
IST_IN_BRANCHE	53	9
IST_IN_BRANCHE	54	4
IST_IN_BRANCHE	55	4
IST_IN_BRANCHE	56	2
IST_IN_BRANCHE	57	9
IST_IN_BRANCHE	58	9
IST_IN_BRANCHE	59	9
IST_IN_BRANCHE	60	9
IST_IN_BRANCHE	61	9
IST_IN_BRANCHE	62	18
IST_IN_BRANCHE	63	8
IST_IN_BRANCHE	64	9
IST_IN_BRANCHE	65	17
IST_IN_BRANCHE	66	17
IST_IN_BRANCHE	67	2
IST_IN_BRANCHE	68	13
IST_IN_BRANCHE	69	1
IST_IN_BRANCHE	70	13
IST_IN_BRANCHE	71	13
IST_IN_BRANCHE	72	16
IST_IN_BRANCHE	73	1
IST_IN_BRANCHE	74	9
IST_IN_BRANCHE	75	13
IST_IN_BRANCHE	76	13
IST_IN_BRANCHE	77	15
IST_IN_BRANCHE	78	9
IST_IN_BRANCHE	79	2
IST_IN_BRANCHE	80	15
IST_IN_BRANCHE	81	9
IST_IN_BRANCHE	82	15
IST_IN_BRANCHE	83	15
IST_IN_BRANCHE	84	15
IST_IN_BRANCHE	85	15
IST_IN_BRANCHE	86	15
IST_IN_BRANCHE	87	9
IST_IN_BRANCHE	88	1
IST_IN_BRANCHE	89	17
IST_IN_BRANCHE	90	5
IST_IN_BRANCHE	91	4
IST_IN_BRANCHE	92	9
IST_IN_BRANCHE	93	4
IST_IN_BRANCHE	94	4
IST_IN_BRANCHE	95	16
IST_IN_BRANCHE	96	15
IST_IN_BRANCHE	97	9
IST_IN_BRANCHE	98	9
IST_IN_BRANCHE	99	9
IST_IN_BRANCHE	100	14
IST_IN_BRANCHE	101	9
IST_IN_BRANCHE	102	2
IST_IN_BRANCHE	103	14
IST_IN_BRANCHE	104	16
IST_IN_BRANCHE	105	16
IST_IN_BRANCHE	106	14
IST_IN_BRANCHE	107	9
IST_IN_BRANCHE	108	9
IST_IN_BRANCHE	111	16
IST_IN_BRANCHE	115	9
IST_IN_BRANCHE	116	5
IST_IN_BRANCHE	117	14
IST_IN_BRANCHE	118	13
IST_IN_BRANCHE	119	18
IST_IN_BRANCHE	120	16
IST_IN_BRANCHE	121	9
IST_IN_BRANCHE	122	4
IST_IN_BRANCHE	123	3
IST_IN_BRANCHE	124	15
IST_IN_BRANCHE	125	18
IST_IN_BRANCHE	126	4
IST_IN_BRANCHE	127	14
IST_IN_BRANCHE	128	8
IST_IN_BRANCHE	129	18
IST_IN_BRANCHE	130	9
IST_IN_BRANCHE	131	3
IST_IN_BRANCHE	132	5
IST_IN_BRANCHE	133	9
IST_IN_BRANCHE	134	15
IST_IN_BRANCHE	135	9
IST_IN_BRANCHE	136	9
IST_IN_BRANCHE	137	15
IST_IN_BRANCHE	138	9
IST_IN_BRANCHE	139	8
IST_IN_BRANCHE	140	8
IST_IN_BRANCHE	141	16
IST_IN_BRANCHE	143	14
IST_IN_BRANCHE	144	4
IST_IN_BRANCHE	145	15
IST_IN_BRANCHE	146	9
IST_IN_BRANCHE	147	15
IST_IN_BRANCHE	148	13
