:TYPE	id:int	organisation_id:START_ID(organisation_id)	ziel_organisation_id:END_ID(organisation_id)	art:string	beschreibung:string	beschreibung_fr:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	von:date	bis:date	freigabe_datum:localdatetime
ARBEITET_FUER	1	349	19	"arbeitet fuer"								2014-09-16T00:00:00
ARBEITET_FUER	2	349	263	"arbeitet fuer"								2014-09-16T00:00:00
MITGLIED_VON	3	285	288	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	4	285	39	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	5	288	39	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	6	353	354	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	7	354	129	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	9	362	336	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	10	14	384	"mitglied von"								2014-09-16T00:00:00
ARBEITET_FUER	11	412	413	"arbeitet fuer"								2014-09-16T00:00:00
ARBEITET_FUER	12	40	412	"arbeitet fuer"								2014-09-16T00:00:00
ARBEITET_FUER	13	412	414	"arbeitet fuer"								2014-09-16T00:00:00
ARBEITET_FUER	14	404	415	"arbeitet fuer"								2014-09-16T00:00:00
MITGLIED_VON	15	24	422	"mitglied von"			"http://www.fourchetteverte.ch/it/articles/11"					2014-09-16T00:00:00
MITGLIED_VON	17	424	425	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	21	447	446	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	22	448	447	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	24	358	453	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	25	437	453	"mitglied von"			"http://www.fdp.ch/partei/kantonalparteien.html"					2014-09-16T00:00:00
MITGLIED_VON	26	454	453	"mitglied von"								2014-09-16T00:00:00
ARBEITET_FUER	27	350	458	"arbeitet fuer"			"http://www.furrerhugi.ch/de-CH/furrerhugi-publicaffairs/Referenzen"					2014-09-16T00:00:00
ARBEITET_FUER	28	457	458	"arbeitet fuer"			"http://www.infosperber.ch/Artikel/Wirtschaft/Glencore-Glasenberg-Fahrbach-Kupfermine-Sambia-Interview"					2014-09-16T00:00:00
MITGLIED_VON	29	52	460	"mitglied von"								2014-09-16T00:00:00
MITGLIED_VON	30	118	460	"mitglied von"								2014-09-16T00:00:00
ARBEITET_FUER	31	460	459	"arbeitet fuer"						2014-03-17		2014-09-16T00:00:00
