:TYPE	id:START_ID(organisation_id)	interessengruppe_id:END_ID(interessengruppe_id)
GEHOERT_ZU	2	107
GEHOERT_ZU	3	63
GEHOERT_ZU	4	63
GEHOERT_ZU	5	60
GEHOERT_ZU	6	18
GEHOERT_ZU	8	26
GEHOERT_ZU	9	59
GEHOERT_ZU	11	51
GEHOERT_ZU	12	74
GEHOERT_ZU	13	3
GEHOERT_ZU	14	3
GEHOERT_ZU	15	4
GEHOERT_ZU	16	68
GEHOERT_ZU	17	98
GEHOERT_ZU	18	25
GEHOERT_ZU	19	3
GEHOERT_ZU	20	4
GEHOERT_ZU	22	8
GEHOERT_ZU	23	3
GEHOERT_ZU	24	3
GEHOERT_ZU	25	3
GEHOERT_ZU	26	59
GEHOERT_ZU	27	108
GEHOERT_ZU	28	4
GEHOERT_ZU	29	3
GEHOERT_ZU	30	5
GEHOERT_ZU	31	52
GEHOERT_ZU	32	33
GEHOERT_ZU	33	13
GEHOERT_ZU	34	81
GEHOERT_ZU	35	81
GEHOERT_ZU	36	53
GEHOERT_ZU	39	23
GEHOERT_ZU	40	81
GEHOERT_ZU	41	81
GEHOERT_ZU	42	59
GEHOERT_ZU	43	106
GEHOERT_ZU	44	14
GEHOERT_ZU	45	100
GEHOERT_ZU	47	85
GEHOERT_ZU	48	16
GEHOERT_ZU	49	53
GEHOERT_ZU	50	53
GEHOERT_ZU	51	29
GEHOERT_ZU	52	16
GEHOERT_ZU	53	46
GEHOERT_ZU	54	102
GEHOERT_ZU	55	27
GEHOERT_ZU	56	12
GEHOERT_ZU	57	12
GEHOERT_ZU	58	12
GEHOERT_ZU	59	16
GEHOERT_ZU	60	58
GEHOERT_ZU	61	57
GEHOERT_ZU	62	18
GEHOERT_ZU	63	108
GEHOERT_ZU	64	4
GEHOERT_ZU	65	6
GEHOERT_ZU	66	3
GEHOERT_ZU	67	70
GEHOERT_ZU	68	33
GEHOERT_ZU	69	33
GEHOERT_ZU	70	68
GEHOERT_ZU	71	43
GEHOERT_ZU	72	12
GEHOERT_ZU	73	12
GEHOERT_ZU	74	4
GEHOERT_ZU	76	53
GEHOERT_ZU	77	33
GEHOERT_ZU	78	53
GEHOERT_ZU	79	75
GEHOERT_ZU	80	4
GEHOERT_ZU	81	54
GEHOERT_ZU	82	15
GEHOERT_ZU	83	53
GEHOERT_ZU	84	5
GEHOERT_ZU	85	7
GEHOERT_ZU	86	53
GEHOERT_ZU	87	80
GEHOERT_ZU	88	10
GEHOERT_ZU	90	12
GEHOERT_ZU	91	54
GEHOERT_ZU	92	54
GEHOERT_ZU	93	106
GEHOERT_ZU	94	30
GEHOERT_ZU	95	16
GEHOERT_ZU	96	5
GEHOERT_ZU	97	12
GEHOERT_ZU	98	4
GEHOERT_ZU	99	66
GEHOERT_ZU	100	6
GEHOERT_ZU	101	5
GEHOERT_ZU	102	68
GEHOERT_ZU	103	10
GEHOERT_ZU	104	54
GEHOERT_ZU	105	15
GEHOERT_ZU	106	42
GEHOERT_ZU	107	42
GEHOERT_ZU	108	79
GEHOERT_ZU	110	26
GEHOERT_ZU	111	57
GEHOERT_ZU	112	39
GEHOERT_ZU	113	96
GEHOERT_ZU	114	59
GEHOERT_ZU	115	59
GEHOERT_ZU	116	59
GEHOERT_ZU	117	57
GEHOERT_ZU	118	16
GEHOERT_ZU	119	56
GEHOERT_ZU	121	84
GEHOERT_ZU	122	44
GEHOERT_ZU	123	12
GEHOERT_ZU	124	3
GEHOERT_ZU	125	5
GEHOERT_ZU	126	12
GEHOERT_ZU	127	12
GEHOERT_ZU	128	68
GEHOERT_ZU	129	6
GEHOERT_ZU	130	53
GEHOERT_ZU	131	54
GEHOERT_ZU	132	49
GEHOERT_ZU	133	1
GEHOERT_ZU	134	54
GEHOERT_ZU	135	65
GEHOERT_ZU	136	59
GEHOERT_ZU	137	54
GEHOERT_ZU	138	105
GEHOERT_ZU	139	25
GEHOERT_ZU	140	50
GEHOERT_ZU	141	67
GEHOERT_ZU	142	19
