:TYPE	id:START_ID(parlamentarier_id)	partei_id:END_ID(partei_id)
IST_PARTEIMITGLIED_VON	4	3
IST_PARTEIMITGLIED_VON	6	5
IST_PARTEIMITGLIED_VON	11	8
IST_PARTEIMITGLIED_VON	12	7
IST_PARTEIMITGLIED_VON	14	7
IST_PARTEIMITGLIED_VON	15	1
IST_PARTEIMITGLIED_VON	21	1
IST_PARTEIMITGLIED_VON	34	5
IST_PARTEIMITGLIED_VON	36	3
IST_PARTEIMITGLIED_VON	38	3
IST_PARTEIMITGLIED_VON	39	5
IST_PARTEIMITGLIED_VON	40	3
IST_PARTEIMITGLIED_VON	41	5
IST_PARTEIMITGLIED_VON	44	5
IST_PARTEIMITGLIED_VON	49	3
IST_PARTEIMITGLIED_VON	51	2
IST_PARTEIMITGLIED_VON	53	2
IST_PARTEIMITGLIED_VON	55	3
IST_PARTEIMITGLIED_VON	57	1
IST_PARTEIMITGLIED_VON	60	5
IST_PARTEIMITGLIED_VON	63	7
IST_PARTEIMITGLIED_VON	65	7
IST_PARTEIMITGLIED_VON	66	1
IST_PARTEIMITGLIED_VON	67	2
IST_PARTEIMITGLIED_VON	75	5
IST_PARTEIMITGLIED_VON	76	7
IST_PARTEIMITGLIED_VON	79	1
IST_PARTEIMITGLIED_VON	80	3
IST_PARTEIMITGLIED_VON	81	1
IST_PARTEIMITGLIED_VON	82	2
IST_PARTEIMITGLIED_VON	83	2
IST_PARTEIMITGLIED_VON	85	1
IST_PARTEIMITGLIED_VON	86	1
IST_PARTEIMITGLIED_VON	88	3
IST_PARTEIMITGLIED_VON	89	3
IST_PARTEIMITGLIED_VON	93	5
IST_PARTEIMITGLIED_VON	96	4
IST_PARTEIMITGLIED_VON	97	7
IST_PARTEIMITGLIED_VON	98	4
IST_PARTEIMITGLIED_VON	99	7
IST_PARTEIMITGLIED_VON	101	1
IST_PARTEIMITGLIED_VON	102	4
IST_PARTEIMITGLIED_VON	103	3
IST_PARTEIMITGLIED_VON	104	5
IST_PARTEIMITGLIED_VON	106	2
IST_PARTEIMITGLIED_VON	108	7
IST_PARTEIMITGLIED_VON	110	3
IST_PARTEIMITGLIED_VON	116	5
IST_PARTEIMITGLIED_VON	117	5
IST_PARTEIMITGLIED_VON	120	5
IST_PARTEIMITGLIED_VON	122	3
IST_PARTEIMITGLIED_VON	125	3
IST_PARTEIMITGLIED_VON	127	5
IST_PARTEIMITGLIED_VON	131	5
IST_PARTEIMITGLIED_VON	132	8
IST_PARTEIMITGLIED_VON	137	1
IST_PARTEIMITGLIED_VON	142	1
IST_PARTEIMITGLIED_VON	143	3
IST_PARTEIMITGLIED_VON	144	3
IST_PARTEIMITGLIED_VON	147	2
IST_PARTEIMITGLIED_VON	149	7
IST_PARTEIMITGLIED_VON	153	7
IST_PARTEIMITGLIED_VON	154	3
IST_PARTEIMITGLIED_VON	158	5
IST_PARTEIMITGLIED_VON	159	3
IST_PARTEIMITGLIED_VON	160	1
IST_PARTEIMITGLIED_VON	161	3
IST_PARTEIMITGLIED_VON	166	7
IST_PARTEIMITGLIED_VON	167	5
IST_PARTEIMITGLIED_VON	168	3
IST_PARTEIMITGLIED_VON	170	10
IST_PARTEIMITGLIED_VON	171	7
IST_PARTEIMITGLIED_VON	172	5
IST_PARTEIMITGLIED_VON	174	3
IST_PARTEIMITGLIED_VON	178	7
IST_PARTEIMITGLIED_VON	179	7
IST_PARTEIMITGLIED_VON	180	5
IST_PARTEIMITGLIED_VON	182	5
IST_PARTEIMITGLIED_VON	183	4
IST_PARTEIMITGLIED_VON	185	1
IST_PARTEIMITGLIED_VON	187	3
IST_PARTEIMITGLIED_VON	188	7
IST_PARTEIMITGLIED_VON	190	5
IST_PARTEIMITGLIED_VON	192	3
IST_PARTEIMITGLIED_VON	195	6
IST_PARTEIMITGLIED_VON	196	4
IST_PARTEIMITGLIED_VON	198	4
IST_PARTEIMITGLIED_VON	206	5
IST_PARTEIMITGLIED_VON	210	1
IST_PARTEIMITGLIED_VON	211	3
IST_PARTEIMITGLIED_VON	212	5
IST_PARTEIMITGLIED_VON	219	7
IST_PARTEIMITGLIED_VON	223	7
IST_PARTEIMITGLIED_VON	227	5
IST_PARTEIMITGLIED_VON	228	7
IST_PARTEIMITGLIED_VON	230	1
IST_PARTEIMITGLIED_VON	235	3
IST_PARTEIMITGLIED_VON	242	1
IST_PARTEIMITGLIED_VON	246	3
IST_PARTEIMITGLIED_VON	248	1
IST_PARTEIMITGLIED_VON	250	5
IST_PARTEIMITGLIED_VON	251	1
IST_PARTEIMITGLIED_VON	256	8
IST_PARTEIMITGLIED_VON	261	5
IST_PARTEIMITGLIED_VON	264	15
IST_PARTEIMITGLIED_VON	265	3
IST_PARTEIMITGLIED_VON	266	1
IST_PARTEIMITGLIED_VON	268	1
IST_PARTEIMITGLIED_VON	269	4
IST_PARTEIMITGLIED_VON	270	5
IST_PARTEIMITGLIED_VON	272	5
IST_PARTEIMITGLIED_VON	273	1
IST_PARTEIMITGLIED_VON	275	5
IST_PARTEIMITGLIED_VON	276	13
IST_PARTEIMITGLIED_VON	277	5
IST_PARTEIMITGLIED_VON	278	1
IST_PARTEIMITGLIED_VON	279	16
IST_PARTEIMITGLIED_VON	280	3
IST_PARTEIMITGLIED_VON	283	5
IST_PARTEIMITGLIED_VON	284	7
IST_PARTEIMITGLIED_VON	285	5
IST_PARTEIMITGLIED_VON	287	5
IST_PARTEIMITGLIED_VON	289	5
IST_PARTEIMITGLIED_VON	291	5
IST_PARTEIMITGLIED_VON	293	3
IST_PARTEIMITGLIED_VON	294	5
IST_PARTEIMITGLIED_VON	295	4
IST_PARTEIMITGLIED_VON	296	3
IST_PARTEIMITGLIED_VON	297	1
IST_PARTEIMITGLIED_VON	298	5
IST_PARTEIMITGLIED_VON	299	5
IST_PARTEIMITGLIED_VON	300	5
IST_PARTEIMITGLIED_VON	301	5
IST_PARTEIMITGLIED_VON	302	1
IST_PARTEIMITGLIED_VON	304	3
IST_PARTEIMITGLIED_VON	305	5
IST_PARTEIMITGLIED_VON	306	5
IST_PARTEIMITGLIED_VON	307	5
IST_PARTEIMITGLIED_VON	308	5
IST_PARTEIMITGLIED_VON	309	5
IST_PARTEIMITGLIED_VON	310	1
IST_PARTEIMITGLIED_VON	312	5
IST_PARTEIMITGLIED_VON	314	1
IST_PARTEIMITGLIED_VON	315	1
IST_PARTEIMITGLIED_VON	316	7
IST_PARTEIMITGLIED_VON	317	7
IST_PARTEIMITGLIED_VON	318	1
IST_PARTEIMITGLIED_VON	319	7
IST_PARTEIMITGLIED_VON	321	1
IST_PARTEIMITGLIED_VON	323	3
IST_PARTEIMITGLIED_VON	326	1
IST_PARTEIMITGLIED_VON	327	6
IST_PARTEIMITGLIED_VON	328	5
IST_PARTEIMITGLIED_VON	329	4
IST_PARTEIMITGLIED_VON	330	3
IST_PARTEIMITGLIED_VON	331	7
IST_PARTEIMITGLIED_VON	332	3
IST_PARTEIMITGLIED_VON	333	7
IST_PARTEIMITGLIED_VON	334	4
