anzeige_name	name	id	nachname	vorname	vorname_kurz	zweiter_vorname	rat_id	kanton_id	kommissionen	partei_id	parteifunktion	fraktion_id	fraktionsfunktion	im_rat_seit	im_rat_bis	ratswechsel	ratsunterbruch_von	ratsunterbruch_bis	beruf	beruf_fr	beruf_interessengruppe_id	titel	aemter	weitere_aemter	zivilstand	anzahl_kinder	militaerischer_grad_id	geschlecht	geburtstag	photo_dateiname	photo_dateierweiterung	photo_dateiname_voll	photo_mime_type	kleinbild	sitzplatz	homepage	homepage_2	parlament_biografie_id	parlament_number	parlament_interessenbindungen_updated	twitter_name	linkedin_profil_url	xing_profil_name	facebook_name	wikipedia	sprache	arbeitssprache	adresse_firma	adresse_plz	adresse_ort	erfasst	freigabe_datum	beruf_de	von	bis	aktiv	geburtstag_unix	im_rat_seit_unix	im_rat_bis_unix	freigabe_datum_unix	von_unix	bis_unix	vertretene_bevoelkerung	rat	kanton	romandie	rat_de	kanton_name_de	rat_fr	kanton_name_fr	kommissionen_namen	kommissionen_namen_de	kommissionen_namen_fr	kommissionen_abkuerzung	kommissionen_abkuerzung_de	kommissionen_abkuerzung_fr	kommissionen_anzahl	partei	partei_name	fraktion	militaerischer_grad	partei_de	partei_name_de	militaerischer_grad_de	partei_fr	partei_name_fr	militaerischer_grad_fr	beruf_branche_id	titel_de	titel_fr	parlamentarier_id	verguetungstransparenz_beurteilung_stichdatum	verguetungstransparenz_beurteilung	refreshed_date
"Carobbio Guscetti, Marina"	"Marina Carobbio Guscetti"	4	"Carobbio Guscetti"	"Marina"			2	21	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	3	"mitglied"	3	"mitglied"	2007-06-04		2019-12-02			"Ärztin"	"Médecin"	4	"Medico, FMH medicina interna generale"	"Deputata in Gran Consiglio: da aprile 1991 a marzo 2007"	"Membro di diritto direzione PS-Ticino; Vicepresidente PS Svizzero: da marzo 2008 al 17 ottobre 2020;"	"verheiratet"	2		"F"	1966-06-12					"2666.jpg"	169	"http://www.marinacarobbio.ch"		3830	2666	2020-12-04T21:05:11				"marina.carobbio"	"https://de.wikipedia.org/wiki/Marina_Carobbio_Guscetti"	"it"	"de"		6533	"Lumino"	"Ja"	2020-06-15T10:55:11	"Ärztin"	2007-06-04		1	"0"	1180908000		1592211311	1180908000		176672	"SR"	"TI"	"0"	"SR"	"Tessin"	"CE"	"Tessin"	"Delegation für die Beziehungen zum Italienischen Parlament (Del I-V); Finanzkommission SR (FK-SR); Redaktionskommission (RedK-V); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Kommission für Wissenschaft, Bildung und Kultur SR (WBK-SR)"	"Delegation für die Beziehungen zum Italienischen Parlament (Del I-V); Finanzkommission SR (FK-SR); Redaktionskommission (RedK-V); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Kommission für Wissenschaft, Bildung und Kultur SR (WBK-SR)"	"Commission des finances CE (CdF); Commission de rédaction (CdR); Commission de la science, de l'éducation et de la culture CE (CSEC); Commission de la sécurité sociale et de la santé publique CE (CSSS); Délégation pour les relations avec le Parlement italien (Del I)"	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	"Del I-V, FK-SR, RedK-V, SGK-SR, WBK-SR"	"CdF, CdR, CSEC, CSSS, Del I"	5	"SP"	"Sozialdemokratische Partei"	"S"		"SP"	"Sozialdemokratische Partei"		"PSS"	"Parti socialiste"		1	"Ständerätin"	"La Conseillère aux Etats"	4			2020-12-07 02:31:03
"de Courten, Thomas"	"Thomas Jan de Courten"	6	"de Courten"	"Thomas"		"Jan"	1	13	"GPK-NR, IK-NR, SGK-NR"	5	"mitglied"	5	"mitglied"	2011-12-05					"Selbständiger Unternehmer"	"Entrepreneur indépendant"	23	"Eidg. Dipl. Betriebsökonom HWV"	"Legislative des Kantons: von März 2003 bis Dezember 2011; Präsident Volkswirtschaftskommission und Gesundheitskommission des Landrates Basel-Landschaft"	"Parteivorstand SVP Schweiz; Parteileitung SVP Baselland; Vizepräsident SVP Gelterkinden und Umgebung"	"verheiratet"	3	16	"M"	1966-07-29					"2757.jpg"	54	"http://www.decourten.info"		4051	2757	2020-12-04T21:05:11		"https://www.linkedin.com/in/thomas-de-courten-99b96256/"	"Thomas_deCourten/cv"	"thomas.decourten"	"https://de.wikipedia.org/wiki/Thomas_de_Courten"	"de"	"de"		4497	"Rünenberg"	"Ja"	2019-09-16T09:35:55	"Selbständiger Unternehmer"	2011-12-05		1	"0"	1323039600		1568619355	1323039600		41162	"NR"	"BL"	"0"	"NR"	"Basel-Landschaft"	"CN"	"Bâle-Campagne"	"Geschäftsprüfungskommission NR (GPK-NR); Immunitätskommission NR (IK-NR); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Geschäftsprüfungskommission NR (GPK-NR); Immunitätskommission NR (IK-NR); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Commission de gestion CN (CdG); Commission de l'immunité CN (CdI); Commission de la sécurité sociale et de la santé publique CN (CSSS)"	"GPK-NR, IK-NR, SGK-NR"	"GPK-NR, IK-NR, SGK-NR"	"CdG, CdI, CSSS"	3	"SVP"	"Schweizerische Volkspartei"	"V"	"Oberleutnant"	"SVP"	"Schweizerische Volkspartei"	"Oberleutnant"	"UDC"	"Union Démocratique du Centre"		9	"Nationalrat"	"Le Conseiller national"	6			2020-12-07 02:31:03
"Hess, Lorenz"	"Lorenz Hess"	11	"Hess"	"Lorenz"			1	2	"GK-V, SGK-NR"	8	"mitglied"	8	"mitglied"	2011-12-05					"Gemeindepräsident, eidg. Dipl. PR-Berater, Unternehmer"	"Syndic, conseiller Consultant en relations publiques, Entrepreneur"	2	"Eidg. dipl. PR-Berater"	"Legislative des Kantons (Grossrat): von Juni 2002 bis November 2011; Gemeinderat Stettlen: Präsident, seit Sommer 2001"	"Vizepräsident der BDP Schweiz: seit Mai 2012; Vorstandsmitglied BDP Kanton Bern: seit 2014"	"verheiratet"	3	20	"M"	1961-06-28					"2799.jpg"	130	"http://www.lorenzhess.ch"		4094	2799	2020-11-29T14:02:40	"LorenzHess"	"https://www.linkedin.com/in/lorenz-hess-4ba6b245/"			"https://de.wikipedia.org/wiki/Lorenz_Hess"	"de"	"de"	"Hess Advisum GmbH"	3066	"Stettlen"	"Ja"	2019-08-16T15:10:16	"Gemeindepräsident, eidg. Dipl. PR-Berater, Unternehmer"	2011-12-05		1	"0"	1323039600		1565961016	1323039600		43124	"NR"	"BE"	"0"	"NR"	"Bern"	"CN"	"Berne"	"Gerichtskommission (GK-V); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Gerichtskommission (GK-V); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Commission judiciaire (CJ); Commission de la sécurité sociale et de la santé publique CN (CSSS)"	"GK-V, SGK-NR"	"GK-V, SGK-NR"	"CJ, CSSS"	2	"BDP"	"Bürgerlich-Demokratische Partei"	"M-CEB"	"Oberst"	"BDP"	"Bürgerlich-Demokratische Partei"	"Oberst"	"PBD"			1	"Nationalrat"	"Le Conseiller national"	11			2020-12-07 02:31:03
"Humbel, Ruth"	"Ruth Humbel"	12	"Humbel"	"Ruth"			1	19	"BeK-V, SGK-NR"	7	"mitglied"	8	"mitglied"	2003-09-15					"Beraterin Gesundheitswesen"	"Consultante en soins de santé"	3	"lic. iur."	"Legislative des Kantons (Grossrätin): von April 1981 bis Oktober 2003"	"Vorstand Mittefraktion CVP-EVP-BDP"	"verheiratet"	2		"F"	1957-07-23					"2580.jpg"	16	"http://www.ruthhumbel.ch"		1071	2580	2020-03-06T22:09:08	"RuthHumbel"	"https://www.linkedin.com/in/ruth-humbel-7904a67b"		"ruth.humbel.3"	"https://de.wikipedia.org/wiki/Ruth_Humbel_Näf"	"de"	"de"		5413	"Birmenstorf"	"Ja"	2019-09-04T13:30:55	"Beraterin Gesundheitswesen"	2003-09-15		1	"0"	1063576800		1567596655	1063576800		42388	"NR"	"AG"	"0"	"NR"	"Aargau"	"CN"	"Argovie"	"Begnadigungskommission (BeK-V); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Begnadigungskommission (BeK-V); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Commission des grâces (CGra); Commission de la sécurité sociale et de la santé publique CN (CSSS)"	"BeK-V, SGK-NR"	"BeK-V, SGK-NR"	"CGra, CSSS"	2	"CVP"	"Christlichdemokratische Volkspartei"	"M-CEB"		"CVP"	"Christlichdemokratische Volkspartei"		"PDC"			1	"Nationalrätin"	"La Conseillère nationale"	12			2020-12-07 02:31:03
"Lohr, Christian"	"Christian Lohr"	14	"Lohr"	"Christian"			1	20	"IPU, SGK-NR"	7	"mitglied"	8	"mitglied"	2011-12-05					"Journalist, Dozent, Publizist"	"Journaliste, Enseignant, Publiciste"	48		"Legislative des Kantons: seit Mai 2000; Legislative der Stadt Kreuzlingen: von Juni 1999 bis Dezember 2011"		"ledig"			"M"	1962-04-05					"3024.jpg"	7	"http://www.lohr.ch"		4118	3024	2020-11-29T14:02:40	"Ch_Lohr"			"christian.lohr.94"	"https://de.wikipedia.org/wiki/Christian_Lohr"	"de"	"de"		8280	"Kreuzlingen"	"Ja"	2019-09-12T16:23:35	"Journalist, Dozent, Publizist"	2011-12-05		1	"0"	1323039600		1568298215	1323039600		46079	"NR"	"TG"	"0"	"NR"	"Thurgau"	"CN"	"Thurgovie"	"Delegation bei der Interparlamentarischen Union (IPU); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Delegation bei der Interparlamentarischen Union (IPU); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR)"	"Commission de la sécurité sociale et de la santé publique CN (CSSS); Délégation auprès de l'Union interparlementaire (UIP)"	"IPU, SGK-NR"	"IPU, SGK-NR"	"CSSS, UIP"	2	"CVP"	"Christlichdemokratische Volkspartei"	"M-CEB"		"CVP"	"Christlichdemokratische Volkspartei"		"PDC"			18	"Nationalrat"	"Le Conseiller national"	14			2020-12-07 02:31:03
"Moret, Isabelle"	"Isabelle Moret"	15	"Moret"	"Isabelle"			1	22	"Bü-VBV-V, SGK-NR, SPK-NR"	1	"mitglied"	1	"mitglied"	2006-12-04					"Anwältin"	"Avocate"	58	"lic. iur. / LL. M."	"Législatif communal (Conseil communal): depuis 1998 jusqu'à 2006 et à nouveau depuis 2016; Constituante vaudoise: depuis 1999 jusqu'à  2002; Législatif cantonal (Grand Conseil): depuis 1999 jusqu'à 2006"	"Vice-présidente du PLR.Les Libéraux-Radicaux: d'avril 2008 jusqu'à 2016"	"verheiratet"	2		"F"	1970-12-30					"2660.jpg"	26	"http://www.isabelle-moret.ch"		1346	2660	2020-11-29T14:02:40	"IsabelleMoret"	"https://www.linkedin.com/in/isabellemoret"		"isabelle.moret.77"	"https://de.wikipedia.org/wiki/Isabelle_Moret"	"fr"	"fr"	"Services du Parlement"	3003	"Berne"	"Ja"	2019-09-12T16:13:43	"Anwältin"	2006-12-04		1	31359600	1165186800		1568297623	1165186800		42060	"NR"	"VD"	1	"NR"	"Waadt"	"CN"	"Vaud"	"Büro Vereinigte Bundesversammlung (Bü-VBV-V); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR); Staatspolitische Kommission NR (SPK-NR)"	"Büro Vereinigte Bundesversammlung (Bü-VBV-V); Kommission für soziale Sicherheit und Gesundheit NR (SGK-NR); Staatspolitische Kommission NR (SPK-NR)"	"Bureau Assemblée fédérale (Bu-CR); Commission des institutions politiques CN (CIP); Commission de la sécurité sociale et de la santé publique CN (CSSS)"	"Bü-VBV-V, SGK-NR, SPK-NR"	"Bü-VBV-V, SGK-NR, SPK-NR"	"Bu-CR, CIP, CSSS"	3	"FDP"	"Freisinnig-Demokratische Partei"	"RL"		"FDP"	"Freisinnig-Demokratische Partei"		"PLR"	"PLR.Les Libéraux-Radicaux"		9	"Nationalrätin"	"La Conseillère nationale"	15			2020-12-07 02:31:03
"Schneeberger, Daniela"	"Daniela Schneeberger"	21	"Schneeberger"	"Daniela"			1	13	"Del A-V, RK-NR, WAK-NR"	1	"mitglied"	1	"mitglied"	2011-12-05					"Treuhänderin mit eidg. Fachausweis, Inhaberin und Geschäftsführerin, Steuerexpertin"	"Fiduciaire avec certificat fédéral, propriétaire et gérant, expert fiscal"	58		"Landrat des Kantons Basel-Landschaft: von Juli 1999 bis Dezember 2011, Mitglied der Finanzkommission; Landratspräsidentin Basel-Landschaft: von Juli 2004 bis Juni 2005"	"Vorstandsmitglied FDP Schweiz bis 27.6.2020"				"F"	1967-09-19					"2766.jpg"	142	"http://www.danielaschneeberger.ch"	"http://www.treuhand-s.ch"	4060	2766	2020-11-29T14:02:40	"SchneeDani67"	"https://www.linkedin.com/in/daniela-schneeberger-91070a83"		"Daniela-Schneeberger-im-Nationalrat-195216777206619"	"https://de.wikipedia.org/wiki/Daniela_Schneeberger"	"de"	"de"		4441	"Thürnen"	"Ja"	2019-09-11T16:40:00	"Treuhänderin mit eidg. Fachausweis, Inhaberin und Geschäftsführerin, Steuerexpertin"	2011-12-05		1	"0"	1323039600		1568212800	1323039600		41162	"NR"	"BL"	"0"	"NR"	"Basel-Landschaft"	"CN"	"Bâle-Campagne"	"Delegation für die Beziehungen zum Österreichischen Parlament (Del A-V); Kommission für Rechtsfragen NR (RK-NR); Kommission für Wirtschaft und Abgaben NR (WAK-NR)"	"Delegation für die Beziehungen zum Österreichischen Parlament (Del A-V); Kommission für Rechtsfragen NR (RK-NR); Kommission für Wirtschaft und Abgaben NR (WAK-NR)"	"Commission des affaires juridiques CN (CAJ); Commission de l'économie et des redevances CN (CER); Délégation pour les relations avec le Parlement autrichien (Del A)"	"Del A-V, RK-NR, WAK-NR"	"Del A-V, RK-NR, WAK-NR"	"CAJ, CER, Del A"	3	"FDP"	"Freisinnig-Demokratische Partei"	"RL"		"FDP"	"Freisinnig-Demokratische Partei"		"PLR"	"PLR.Les Libéraux-Radicaux"		9	"Nationalrätin"	"La Conseillère nationale"	21			2020-12-07 02:31:03
"Kuprecht, Alex"	"Alex Kuprecht"	34	"Kuprecht"	"Alex"			2	5	"Bü-SR, Bü-VBV-V, Del A-V, Del FL-V, SGK-SR, SiK-SR, VD, WAK-SR"	5	"mitglied"	5	"mitglied"	2003-12-01					"Pensioniert"	"Retraité"	18	"Eidg. dipl. Versicherungsfachmann"	"Legislative des Kantons (Kantonsrat): von Oktober 1990 bis November 2003; Kantonsratspräsident: von Juni 2002 bis Juni 2003"	"Mitglied des Fraktionsvorstandes"	"verheiratet"	2	5	"M"	1957-12-22					"2641.jpg"	35	"http://www.alex-kuprecht.ch"		1162	2641	2020-05-16T08:17:38		"https://www.linkedin.com/in/alex-kuprecht-442a9123"	"Alex_Kuprecht"	"Alex-Kuprecht/187734827976565"	"https://de.wikipedia.org/wiki/Alex_Kuprecht"	"de"	"de"		8808	"Pfäffikon"	"Ja"	2019-09-03T21:11:54	"Pensioniert"	2003-12-01		1	"0"	1070233200		1567537914	1070233200		79583	"SR"	"SZ"	"0"	"SR"	"Schwyz"	"CE"	"Schwyz"	"Büro SR (Bü-SR); Büro Vereinigte Bundesversammlung (Bü-VBV-V); Delegation für die Beziehungen zum Österreichischen Parlament (Del A-V); Delegation für die Beziehungen zum Landtag des Fürstentums Liechtenstein (Del FL-V); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Sicherheitspolitische Kommission SR (SiK-SR); Verwaltungsdelegation (VD); Kommission für Wirtschaft und Abgaben SR (WAK-SR)"	"Büro SR (Bü-SR); Büro Vereinigte Bundesversammlung (Bü-VBV-V); Delegation für die Beziehungen zum Österreichischen Parlament (Del A-V); Delegation für die Beziehungen zum Landtag des Fürstentums Liechtenstein (Del FL-V); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Sicherheitspolitische Kommission SR (SiK-SR); Verwaltungsdelegation (VD); Kommission für Wirtschaft und Abgaben SR (WAK-SR)"	"Bureau CE (Bu); Bureau Assemblée fédérale (Bu-CR); Commission de l'économie et des redevances CE (CER); Commission de la politique de sécurité CE (CPS); Commission de la sécurité sociale et de la santé publique CE (CSSS); Délégation administrative (DA); Délégation pour les relations avec le Parlement autrichien (Del A); Délégation pour les relations avec le Landtag du Liechtenstein (Del FL)"	"Bü-SR, Bü-VBV-V, Del A-V, Del FL-V, SGK-SR, SiK-SR, VD, WAK-SR"	"Bü-SR, Bü-VBV-V, Del A-V, Del FL-V, SGK-SR, SiK-SR, VD, WAK-SR"	"Bu, Bu-CR, CER, CPS, CSSS, DA, Del A, Del FL"	8	"SVP"	"Schweizerische Volkspartei"	"V"	"Korporal"	"SVP"	"Schweizerische Volkspartei"	"Korporal"	"UDC"	"Union Démocratique du Centre"		9	"Ständerat"	"Le Conseiller aux Etats"	34			2020-12-07 02:31:03
"Rechsteiner, Paul"	"Paul Rechsteiner"	36	"Rechsteiner"	"Paul"			2	17	"Del A-V, Del FL-V, KVF-SR, SGK-SR, WAK-SR"	3	"mitglied"	3	"mitglied"	1986-06-02		2011-12-12			"Rechtsanwalt"	"Avocat"	58	"lic. iur."	"Legislative der Gemeinde St. Gallen: von 1977 bis 1984; Legislative des Kantons: von 1984 bis 1986"		"verheiratet"			"M"	1952-08-26					"2143.jpg"	32	"http://www.paulrechsteiner.ch"		172	2143	2020-12-04T21:05:11	"PaulRechsteiner"			"rechsteiner.staenderat"	"https://de.wikipedia.org/wiki/Paul_Rechsteiner"	"de"	"de"		9000	"St. Gallen"	"Ja"	2019-09-18T15:47:46	"Rechtsanwalt"	1986-06-02		1	"0"	518047200		1568814466	518047200		253849	"SR"	"SG"	"0"	"SR"	"St. Gallen"	"CE"	"Saint-Gall"	"Delegation für die Beziehungen zum Österreichischen Parlament (Del A-V); Delegation für die Beziehungen zum Landtag des Fürstentums Liechtenstein (Del FL-V); Kommission für Verkehr und Fernmeldewesen SR (KVF-SR); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Kommission für Wirtschaft und Abgaben SR (WAK-SR)"	"Delegation für die Beziehungen zum Österreichischen Parlament (Del A-V); Delegation für die Beziehungen zum Landtag des Fürstentums Liechtenstein (Del FL-V); Kommission für Verkehr und Fernmeldewesen SR (KVF-SR); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Kommission für Wirtschaft und Abgaben SR (WAK-SR)"	"Commission de l'économie et des redevances CE (CER); Commission de la sécurité sociale et de la santé publique CE (CSSS); Commission des transports et des télécommunications CE (CTT); Délégation pour les relations avec le Parlement autrichien (Del A); Délégation pour les relations avec le Landtag du Liechtenstein (Del FL)"	"Del A-V, Del FL-V, KVF-SR, SGK-SR, WAK-SR"	"Del A-V, Del FL-V, KVF-SR, SGK-SR, WAK-SR"	"CER, CSSS, CTT, Del A, Del FL"	5	"SP"	"Sozialdemokratische Partei"	"S"		"SP"	"Sozialdemokratische Partei"		"PSS"	"Parti socialiste"		9	"Ständerat"	"Le Conseiller aux Etats"	36			2020-12-07 02:31:03
"Stöckli, Hans"	"Hans Stöckli"	38	"Stöckli"	"Hans"			2	2	"Bü-VBV-V, GK-V, GPK-SR, SGK-SR, SPK-SR"	3	"mitglied"	3	"mitglied"	2004-09-20		2011-12-05			"Fürsprecher, Alt-Stadtpräsident"	"Avocat"	60	"Fürsprecher"	"Legislative der Gemeinde: von August 1979 bis Dezember 1984; Exekutive der Gemeinde: von Januar 1985 bis Juni 1990 nebenamtlich und von Juli 1990 bis Dezember 2010 vollamtlich; Legislative des Kantons: von Mai 2002 bis September 2004"		"verheiratet"	3	3	"M"	1952-04-12					"2647.jpg"	18	"http://www.hansstoeckli.ch"		1267	2647	2020-11-29T14:02:40				"hans.insstockli"	"https://de.wikipedia.org/wiki/Hans_Stöckli"	"de"	"de"		2503	"Biel"	"Ja"	2019-09-12T15:53:22	"Fürsprecher, Alt-Stadtpräsident"	2004-09-20		1	"0"	1095631200		1568296402	1095631200		517489	"SR"	"BE"	"0"	"SR"	"Bern"	"CE"	"Berne"	"Büro Vereinigte Bundesversammlung (Bü-VBV-V); Gerichtskommission (GK-V); Geschäftsprüfungskommission SR (GPK-SR); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Staatspolitische Kommission SR (SPK-SR)"	"Büro Vereinigte Bundesversammlung (Bü-VBV-V); Gerichtskommission (GK-V); Geschäftsprüfungskommission SR (GPK-SR); Kommission für soziale Sicherheit und Gesundheit SR (SGK-SR); Staatspolitische Kommission SR (SPK-SR)"	"Bureau Assemblée fédérale (Bu-CR); Commission de gestion CE (CdG); Commission des institutions politiques CE (CIP); Commission judiciaire (CJ); Commission de la sécurité sociale et de la santé publique CE (CSSS)"	"Bü-VBV-V, GK-V, GPK-SR, SGK-SR, SPK-SR"	"Bü-VBV-V, GK-V, GPK-SR, SGK-SR, SPK-SR"	"Bu-CR, CdG, CIP, CJ, CSSS"	5	"SP"	"Sozialdemokratische Partei"	"S"	"Gefreiter"	"SP"	"Sozialdemokratische Partei"	"Gefreiter"	"PSS"	"Parti socialiste"		9	"Ständerat"	"Le Conseiller aux Etats"	38			2020-12-07 02:31:03
