:TYPE	id:START_ID(parlamentarier_id)	fraktion_id:END_ID(fraktion_id)
IST_FRAKTIONMITGLIED_VON	4	3
IST_FRAKTIONMITGLIED_VON	6	5
IST_FRAKTIONMITGLIED_VON	11	8
IST_FRAKTIONMITGLIED_VON	12	8
IST_FRAKTIONMITGLIED_VON	14	8
IST_FRAKTIONMITGLIED_VON	15	1
IST_FRAKTIONMITGLIED_VON	21	1
IST_FRAKTIONMITGLIED_VON	34	5
IST_FRAKTIONMITGLIED_VON	36	3
IST_FRAKTIONMITGLIED_VON	38	3
IST_FRAKTIONMITGLIED_VON	39	5
IST_FRAKTIONMITGLIED_VON	40	3
IST_FRAKTIONMITGLIED_VON	41	5
IST_FRAKTIONMITGLIED_VON	44	5
IST_FRAKTIONMITGLIED_VON	49	3
IST_FRAKTIONMITGLIED_VON	51	2
IST_FRAKTIONMITGLIED_VON	53	2
IST_FRAKTIONMITGLIED_VON	55	3
IST_FRAKTIONMITGLIED_VON	57	1
IST_FRAKTIONMITGLIED_VON	60	5
IST_FRAKTIONMITGLIED_VON	63	8
IST_FRAKTIONMITGLIED_VON	65	8
IST_FRAKTIONMITGLIED_VON	66	1
IST_FRAKTIONMITGLIED_VON	67	2
IST_FRAKTIONMITGLIED_VON	75	5
IST_FRAKTIONMITGLIED_VON	76	8
IST_FRAKTIONMITGLIED_VON	79	1
IST_FRAKTIONMITGLIED_VON	80	3
IST_FRAKTIONMITGLIED_VON	81	1
IST_FRAKTIONMITGLIED_VON	82	2
IST_FRAKTIONMITGLIED_VON	83	2
IST_FRAKTIONMITGLIED_VON	85	1
IST_FRAKTIONMITGLIED_VON	86	1
IST_FRAKTIONMITGLIED_VON	88	3
IST_FRAKTIONMITGLIED_VON	89	3
IST_FRAKTIONMITGLIED_VON	93	5
IST_FRAKTIONMITGLIED_VON	96	4
IST_FRAKTIONMITGLIED_VON	97	8
IST_FRAKTIONMITGLIED_VON	98	4
IST_FRAKTIONMITGLIED_VON	99	8
IST_FRAKTIONMITGLIED_VON	101	1
IST_FRAKTIONMITGLIED_VON	102	4
IST_FRAKTIONMITGLIED_VON	103	3
IST_FRAKTIONMITGLIED_VON	104	5
IST_FRAKTIONMITGLIED_VON	106	2
IST_FRAKTIONMITGLIED_VON	108	8
IST_FRAKTIONMITGLIED_VON	110	3
IST_FRAKTIONMITGLIED_VON	116	5
IST_FRAKTIONMITGLIED_VON	117	5
IST_FRAKTIONMITGLIED_VON	120	5
IST_FRAKTIONMITGLIED_VON	122	3
IST_FRAKTIONMITGLIED_VON	125	3
IST_FRAKTIONMITGLIED_VON	127	5
IST_FRAKTIONMITGLIED_VON	131	5
IST_FRAKTIONMITGLIED_VON	132	8
IST_FRAKTIONMITGLIED_VON	137	1
IST_FRAKTIONMITGLIED_VON	142	1
IST_FRAKTIONMITGLIED_VON	143	3
IST_FRAKTIONMITGLIED_VON	144	3
IST_FRAKTIONMITGLIED_VON	147	2
IST_FRAKTIONMITGLIED_VON	149	8
IST_FRAKTIONMITGLIED_VON	153	8
IST_FRAKTIONMITGLIED_VON	154	3
IST_FRAKTIONMITGLIED_VON	158	5
IST_FRAKTIONMITGLIED_VON	159	3
IST_FRAKTIONMITGLIED_VON	160	1
IST_FRAKTIONMITGLIED_VON	161	3
IST_FRAKTIONMITGLIED_VON	166	8
IST_FRAKTIONMITGLIED_VON	167	5
IST_FRAKTIONMITGLIED_VON	168	3
IST_FRAKTIONMITGLIED_VON	170	5
IST_FRAKTIONMITGLIED_VON	171	8
IST_FRAKTIONMITGLIED_VON	172	5
IST_FRAKTIONMITGLIED_VON	174	3
IST_FRAKTIONMITGLIED_VON	178	8
IST_FRAKTIONMITGLIED_VON	179	8
IST_FRAKTIONMITGLIED_VON	180	5
IST_FRAKTIONMITGLIED_VON	182	5
IST_FRAKTIONMITGLIED_VON	183	4
IST_FRAKTIONMITGLIED_VON	185	1
IST_FRAKTIONMITGLIED_VON	187	3
IST_FRAKTIONMITGLIED_VON	188	8
IST_FRAKTIONMITGLIED_VON	190	5
IST_FRAKTIONMITGLIED_VON	192	3
IST_FRAKTIONMITGLIED_VON	195	8
IST_FRAKTIONMITGLIED_VON	196	4
IST_FRAKTIONMITGLIED_VON	198	4
IST_FRAKTIONMITGLIED_VON	206	5
IST_FRAKTIONMITGLIED_VON	210	1
IST_FRAKTIONMITGLIED_VON	211	3
IST_FRAKTIONMITGLIED_VON	212	5
IST_FRAKTIONMITGLIED_VON	219	8
IST_FRAKTIONMITGLIED_VON	223	8
