:TYPE	id:START_ID(parlamentarier_id)	kanton_id:END_ID(kanton_id)
WOHNT_IM_KANTON	4	21
WOHNT_IM_KANTON	6	13
WOHNT_IM_KANTON	11	2
WOHNT_IM_KANTON	12	19
WOHNT_IM_KANTON	14	20
WOHNT_IM_KANTON	15	22
WOHNT_IM_KANTON	21	13
WOHNT_IM_KANTON	34	5
WOHNT_IM_KANTON	36	17
WOHNT_IM_KANTON	38	2
WOHNT_IM_KANTON	39	2
WOHNT_IM_KANTON	40	2
WOHNT_IM_KANTON	41	9
WOHNT_IM_KANTON	44	25
WOHNT_IM_KANTON	49	1
WOHNT_IM_KANTON	51	1
WOHNT_IM_KANTON	53	2
WOHNT_IM_KANTON	55	3
WOHNT_IM_KANTON	57	10
WOHNT_IM_KANTON	60	17
WOHNT_IM_KANTON	63	10
WOHNT_IM_KANTON	65	18
WOHNT_IM_KANTON	66	15
WOHNT_IM_KANTON	67	22
WOHNT_IM_KANTON	75	3
WOHNT_IM_KANTON	76	16
WOHNT_IM_KANTON	79	22
WOHNT_IM_KANTON	80	19
WOHNT_IM_KANTON	81	1
WOHNT_IM_KANTON	82	3
WOHNT_IM_KANTON	83	19
WOHNT_IM_KANTON	85	11
WOHNT_IM_KANTON	86	22
WOHNT_IM_KANTON	88	26
WOHNT_IM_KANTON	89	17
WOHNT_IM_KANTON	93	2
WOHNT_IM_KANTON	96	1
WOHNT_IM_KANTON	97	3
WOHNT_IM_KANTON	98	1
WOHNT_IM_KANTON	99	5
WOHNT_IM_KANTON	101	5
WOHNT_IM_KANTON	102	13
WOHNT_IM_KANTON	103	20
WOHNT_IM_KANTON	104	22
WOHNT_IM_KANTON	106	2
WOHNT_IM_KANTON	108	26
WOHNT_IM_KANTON	110	17
WOHNT_IM_KANTON	116	1
WOHNT_IM_KANTON	117	20
WOHNT_IM_KANTON	120	14
WOHNT_IM_KANTON	122	12
WOHNT_IM_KANTON	125	1
WOHNT_IM_KANTON	127	7
WOHNT_IM_KANTON	131	19
WOHNT_IM_KANTON	132	8
WOHNT_IM_KANTON	137	25
WOHNT_IM_KANTON	142	2
WOHNT_IM_KANTON	143	22
WOHNT_IM_KANTON	144	2
WOHNT_IM_KANTON	147	1
WOHNT_IM_KANTON	149	3
WOHNT_IM_KANTON	153	11
WOHNT_IM_KANTON	154	14
WOHNT_IM_KANTON	158	25
WOHNT_IM_KANTON	159	22
WOHNT_IM_KANTON	160	1
WOHNT_IM_KANTON	161	13
WOHNT_IM_KANTON	166	9
WOHNT_IM_KANTON	167	2
WOHNT_IM_KANTON	168	10
WOHNT_IM_KANTON	170	21
WOHNT_IM_KANTON	171	21
WOHNT_IM_KANTON	172	17
WOHNT_IM_KANTON	174	23
WOHNT_IM_KANTON	178	17
WOHNT_IM_KANTON	179	21
WOHNT_IM_KANTON	180	2
WOHNT_IM_KANTON	182	1
WOHNT_IM_KANTON	183	2
WOHNT_IM_KANTON	185	3
WOHNT_IM_KANTON	187	10
WOHNT_IM_KANTON	188	13
WOHNT_IM_KANTON	190	5
WOHNT_IM_KANTON	192	25
WOHNT_IM_KANTON	195	2
WOHNT_IM_KANTON	196	22
WOHNT_IM_KANTON	198	2
WOHNT_IM_KANTON	206	2
WOHNT_IM_KANTON	210	2
WOHNT_IM_KANTON	211	19
WOHNT_IM_KANTON	212	11
WOHNT_IM_KANTON	219	11
WOHNT_IM_KANTON	223	18
WOHNT_IM_KANTON	227	14
WOHNT_IM_KANTON	228	20
WOHNT_IM_KANTON	230	8
WOHNT_IM_KANTON	235	10
WOHNT_IM_KANTON	238	14
WOHNT_IM_KANTON	242	18
WOHNT_IM_KANTON	246	11
WOHNT_IM_KANTON	248	1
WOHNT_IM_KANTON	250	1
WOHNT_IM_KANTON	251	1
WOHNT_IM_KANTON	256	2
WOHNT_IM_KANTON	261	23
WOHNT_IM_KANTON	264	12
WOHNT_IM_KANTON	265	1
WOHNT_IM_KANTON	266	24
WOHNT_IM_KANTON	268	22
WOHNT_IM_KANTON	269	22
WOHNT_IM_KANTON	270	22
WOHNT_IM_KANTON	272	19
WOHNT_IM_KANTON	273	19
WOHNT_IM_KANTON	275	21
WOHNT_IM_KANTON	276	24
WOHNT_IM_KANTON	277	5
WOHNT_IM_KANTON	278	17
WOHNT_IM_KANTON	279	12
WOHNT_IM_KANTON	280	25
WOHNT_IM_KANTON	283	19
WOHNT_IM_KANTON	284	3
WOHNT_IM_KANTON	285	3
WOHNT_IM_KANTON	287	2
WOHNT_IM_KANTON	289	11
WOHNT_IM_KANTON	291	1
WOHNT_IM_KANTON	293	1
WOHNT_IM_KANTON	294	18
WOHNT_IM_KANTON	295	25
WOHNT_IM_KANTON	296	1
WOHNT_IM_KANTON	297	23
WOHNT_IM_KANTON	298	22
WOHNT_IM_KANTON	299	10
WOHNT_IM_KANTON	300	23
WOHNT_IM_KANTON	301	2
WOHNT_IM_KANTON	302	1
WOHNT_IM_KANTON	304	1
WOHNT_IM_KANTON	305	13
WOHNT_IM_KANTON	306	1
WOHNT_IM_KANTON	307	1
WOHNT_IM_KANTON	308	1
WOHNT_IM_KANTON	309	1
WOHNT_IM_KANTON	310	22
WOHNT_IM_KANTON	312	15
WOHNT_IM_KANTON	314	19
WOHNT_IM_KANTON	315	4
WOHNT_IM_KANTON	316	6
WOHNT_IM_KANTON	317	9
WOHNT_IM_KANTON	318	3
WOHNT_IM_KANTON	319	23
WOHNT_IM_KANTON	321	7
WOHNT_IM_KANTON	323	22
WOHNT_IM_KANTON	326	21
WOHNT_IM_KANTON	327	1
WOHNT_IM_KANTON	328	20
WOHNT_IM_KANTON	329	19
WOHNT_IM_KANTON	330	22
WOHNT_IM_KANTON	331	23
WOHNT_IM_KANTON	332	1
WOHNT_IM_KANTON	333	17
WOHNT_IM_KANTON	334	3
WOHNT_IM_KANTON	335	2
WOHNT_IM_KANTON	337	1
WOHNT_IM_KANTON	339	13
WOHNT_IM_KANTON	340	23
WOHNT_IM_KANTON	341	17
WOHNT_IM_KANTON	343	1
WOHNT_IM_KANTON	344	1
WOHNT_IM_KANTON	345	17
WOHNT_IM_KANTON	346	17
WOHNT_IM_KANTON	347	2
WOHNT_IM_KANTON	348	1
WOHNT_IM_KANTON	349	1
WOHNT_IM_KANTON	350	1
WOHNT_IM_KANTON	351	22
WOHNT_IM_KANTON	352	4
WOHNT_IM_KANTON	353	1
WOHNT_IM_KANTON	354	11
WOHNT_IM_KANTON	355	2
WOHNT_IM_KANTON	356	17
WOHNT_IM_KANTON	357	2
WOHNT_IM_KANTON	358	2
WOHNT_IM_KANTON	359	1
WOHNT_IM_KANTON	360	19
WOHNT_IM_KANTON	361	17
WOHNT_IM_KANTON	362	1
WOHNT_IM_KANTON	363	3
WOHNT_IM_KANTON	364	19
WOHNT_IM_KANTON	365	17
WOHNT_IM_KANTON	366	1
WOHNT_IM_KANTON	367	22
WOHNT_IM_KANTON	368	12
WOHNT_IM_KANTON	369	12
WOHNT_IM_KANTON	370	19
WOHNT_IM_KANTON	371	10
WOHNT_IM_KANTON	372	19
WOHNT_IM_KANTON	373	19
WOHNT_IM_KANTON	374	18
WOHNT_IM_KANTON	375	20
WOHNT_IM_KANTON	376	2
WOHNT_IM_KANTON	378	18
WOHNT_IM_KANTON	379	6
WOHNT_IM_KANTON	380	8
WOHNT_IM_KANTON	381	10
WOHNT_IM_KANTON	382	12
WOHNT_IM_KANTON	383	23
WOHNT_IM_KANTON	384	20
WOHNT_IM_KANTON	386	9
WOHNT_IM_KANTON	387	20
WOHNT_IM_KANTON	388	24
WOHNT_IM_KANTON	389	25
WOHNT_IM_KANTON	390	25
WOHNT_IM_KANTON	391	2
WOHNT_IM_KANTON	392	22
WOHNT_IM_KANTON	393	21
WOHNT_IM_KANTON	394	19
WOHNT_IM_KANTON	395	24
WOHNT_IM_KANTON	396	21
WOHNT_IM_KANTON	397	18
WOHNT_IM_KANTON	398	24
WOHNT_IM_KANTON	399	23
WOHNT_IM_KANTON	400	9
WOHNT_IM_KANTON	401	26
WOHNT_IM_KANTON	402	26
WOHNT_IM_KANTON	403	25
WOHNT_IM_KANTON	404	25
WOHNT_IM_KANTON	405	21
WOHNT_IM_KANTON	406	23
WOHNT_IM_KANTON	407	25
WOHNT_IM_KANTON	408	25
WOHNT_IM_KANTON	409	22
WOHNT_IM_KANTON	410	22
WOHNT_IM_KANTON	411	1
WOHNT_IM_KANTON	412	25
WOHNT_IM_KANTON	413	22
WOHNT_IM_KANTON	414	16
WOHNT_IM_KANTON	415	19
WOHNT_IM_KANTON	416	11
WOHNT_IM_KANTON	417	10
WOHNT_IM_KANTON	418	1
WOHNT_IM_KANTON	419	4
WOHNT_IM_KANTON	420	21
WOHNT_IM_KANTON	421	24
WOHNT_IM_KANTON	422	25
WOHNT_IM_KANTON	423	5
WOHNT_IM_KANTON	424	13
WOHNT_IM_KANTON	425	19
