parlamentarier_anzeige_name	parlamentarier_id	parlamentarier_nachname	parlamentarier_vorname	parlamentarier_zweiter_vorname	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	interessenbindung_beschreibung	interessenbindung_von	interessenbindung_bis	interessenbindung_art	interessenbindung_funktion_im_gremium	interessenbindung_deklarationstyp	interessenbindung_status	interessenbindung_hauptberuflich	interessenbindung_behoerden_vertreter	interessenbindung_wirksamkeit	organisation_id	verguetung	verguetung_jahr	verguetung_beschreibung	organisation_name_de	organisation_uid	organisation_name_fr	organisation_ort	organisation_rechtsform	organisation_rechtsform_handelsregister	organisation_rechtsform_zefix	organisation_typ	organisation_vernehmlassung	organisation_interessengruppe1	organisation_interessengruppe1_branche	organisation_interessengruppe1_branche_kommission_abkuerzung	organisation_interessengruppe2	organisation_interessengruppe2_branche	organisation_interessengruppe2_branche_kommission_abkuerzung	organisation_interessengruppe3	organisation_interessengruppe3_branche	organisation_interessengruppe3_branche_kommission_abkuerzung
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"		"tief"	311				"Arbeitskreis Sicherheit und Wehrtechnik"		"Cercle de travail pour la sécurité et les technologies de défense"	"Zürich"	"Informelle Gruppe"			"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Rüstungsindustrie"	"Sicherheit"	"SiK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	637				"Biodiversität und Artenschutz"		"Biodiversité et gestion des espèces"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Umwelt & Natur"	"Umwelt"	"UREK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	640				"Familienpolitik"		"Politique familiale"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	652	"0"	2015	"Ehrenamtlich"	"Association romande contre la drogue ARCD"			"Lausanne"	"Verein"			"EinzelOrganisation"	"punktuell"	"Gesundheit"	"Gesundheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	1035	"0"	2015	"Ehrenamtlich"	"Société des Officiers du Valais romand (SOVR)"			"Monthey"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Militär"	"Sicherheit"	"SiK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1278				"Auslandschweizer"		"Suisses de l'étranger"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Staatspolitik allgemein"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1622				"Tourismus PGT"		"Tourisme GPT"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Tourismus/Gastronomie"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1623				"Lateinische Konsumfragen"		"Latin Consommation"	"Lausanne"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Konsumentenschutz"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1661				"Komplementärmedizin"		"Médecine complémentaire"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Arztmedizin"	"Gesundheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1751				"Sport"		"Sport"	"Ittigen"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Sport allgemein"	"Sport"	"WBK"						
